# N4 단어 한국어 뜻
日|ひ	해, 날
生きる	살다
深い	깊다
邪魔	방해
優しい	상냥하다
厳しい	엄격하다
残る	남다
両方	양쪽
翻訳	번역
選ぶ	고르다
アジア	아시아
程	정도
悲しい	슬프다
台風	태풍
教会	교회
スーツ	정장
動く	움직이다
ケーキ	케이크
今夜	오늘 밤
空港	공항
都合	형편, 사정
赤ちゃん	아기
適当	적당함
匂い	냄새, 향기
鏡	거울
虫	벌레
決して	결코
挨拶	인사
真面目	성실함
決める	정하다
高校生	고등학생
複雑	복잡
建て	~층 건물, ~건
招待	초대
増える	늘다
進む	나아가다
向かう	향하다
パパ	아빠
送る	보내다
神社	신사
人形	인형
坂	비탈길, 언덕
背中	등
規則	규칙
季節	계절
おる	있다 (겸양)
中々	꽤, 좀처럼
笑う	웃다
戻る	되돌아가다
上がる	오르다
伝える	전하다
ピアノ	피아노
恥ずかしい	부끄럽다
具合	상태, 컨디션
日記	일기
大分|だいぶ	꽤, 상당히
受付	접수처
入学	입학
出発	출발
ガラス	유리
住所	주소
思い出す	생각해 내다
店員	점원
遠く	먼 곳
輸入	수입
返事	대답, 답장
開く|ひらく	열다, 열리다
道具	도구
数学	수학
競争	경쟁
一杯	가득, 한 잔
珍しい	드물다
大体	대체로
コンサート	콘서트
田舎	시골
格好	모습, 모양새
もうすぐ	곧
済む	끝나다
港	항구
ベル	벨
部長	부장
テニス	테니스
勝つ	이기다
起こす	깨우다, 일으키다
驚く	놀라다
それほど	그만큼, 그다지
大学生	대학생
通る	통과하다, 지나가다
逃げる	도망치다
丁寧	정중함
雲	구름
寂しい	외롭다
下着	속옷
見つける	찾아내다
アフリカ	아프리카
布団	이불
お祝い	축하
入院	입원
集まる	모이다
医学	의학
林	숲
払う	지불하다
たまに	가끔
故障	고장
オーバー	오버, 외투
喉	목구멍
割合	비율
湯	뜨거운 물
お陰	덕분
すっかり	완전히
湖	호수
出席	출석
寺	절
よろしい	좋다 (공손)
アルコール	알코올
止める|やめる	그만두다
止める|とめる	세우다, 멈추다
踊り	춤
おもちゃ	장난감
習慣	습관
細かい	잘다, 세세하다
指輪	반지
糸	실
聞こえる	들리다
アルバイト	아르바이트
調べる	조사하다
捨てる	버리다
この間	요전에
工業	공업
中学校	중학교
美術館	미술관
集める	모으다
慣れる	익숙해지다
海岸	해안
負ける	지다
見つかる	발견되다
輸出	수출
テキスト	교재
喜ぶ	기뻐하다
昼間	낮
文学	문학
水道	수도
漬ける	담그다, 절이다
いただく	받다, 먹다 (겸양)
サラダ	샐러드
校長	교장
遠慮	사양, 삼감
比べる	비교하다
発音	발음
なるべく	되도록
通う	다니다
泣く	울다
砂	모래
一生懸命	열심히
迎える	맞이하다
頑張る	노력하다, 힘내다
お礼	사례, 감사 인사
随分	꽤, 몹시
怒る	화내다
公務員	공무원
貿易	무역
打つ|うつ	치다
西洋	서양
育てる	키우다
祖父	할아버지 (나의)
棚	선반
できるだけ	가능한 한
枝	가지
講義	강의
熱心	열심
世話	돌봄, 신세
ガソリン	휘발유
立てる	세우다
レジ	계산대
景色	경치
踊る	춤추다
味噌	된장
贈り物	선물
親切	친절
祖母	할머니 (나의)
特急	특급
運ぶ	나르다
直す	고치다
大抵	대개
泥棒	도둑
承知	알아들음, 승낙
注射	주사
決まる	정해지다
スクリーン	스크린
ステーキ	스테이크
役に立つ	도움이 되다
とうとう	마침내
治る	낫다
正月	설, 정월
それに	게다가
投げる	던지다
アナウンサー	아나운서
引き出し	서랍
光る	빛나다
旅館	여관
壊す	부수다
用事	볼일
隅	구석
不便	불편
祈る	기도하다, 빌다
くださる	주시다
水泳	수영
すると	그러자
触る	만지다
火事	화재
焼く	굽다
屋上	옥상
柔道	유도
塗る	칠하다, 바르다
郊外	교외
眠る	잠들다
いらっしゃる	계시다, 가시다, 오시다
無くなる	없어지다
歯医者	치과 의사
すり	소매치기
間に合う	시간에 대다
課長	과장
手袋	장갑
ごみ	쓰레기
盛ん	왕성함, 활발함
下げる	내리다, 낮추다
文法	문법
遅れる	늦다
拝見	삼가 봄 (겸양)
浅い	얕다
着物	기모노
柔らかい	부드럽다
揺れる	흔들리다
カーテン	커튼
壊れる	부서지다, 고장 나다
畳	다다미
ハンバーグ	햄버그스테이크
騒ぐ	떠들다
アクセサリー	액세서리
別れる	헤어지다
飾る	장식하다
冷房	냉방
ジャム	잼
急行	급행
亡くなる	돌아가시다
痩せる	살이 빠지다
謝る	사과하다
眠い	졸리다
花見	꽃구경
サンドイッチ	샌드위치
舟	배 (작은 배)
辞典	사전
倒れる	쓰러지다
支度	채비, 준비
お嬢さん	따님, 아가씨
乗り物	탈것
地理	지리
小鳥	작은 새
退院	퇴원
移る	옮기다
鳴る	울리다
間違える	틀리다, 잘못하다
届ける	배달하다, 보내 주다
おっしゃる	말씀하시다
赤ん坊	갓난아기
建てる	짓다, 세우다
暖房	난방
ステレオ	스테레오
お子さん	자녀분
込む	붐비다
売り場	매장
噛む	씹다, 물다
サンダル	샌들
留守	부재중
ご存じ	알고 계심
ぶどう	포도
拾う	줍다
踏む	밟다
片付ける	정리하다
答	답
スーツケース	여행 가방
エスカレーター	에스컬레이터
電灯	전등
昼休み	점심시간
知らせる	알리다
太る	살찌다
折れる	부러지다, 접히다
泊まる	묵다
忘れ物	잊은 물건
苦い	쓰다 (맛)
復習	복습
見物	구경
盗む	훔치다
尋ねる	묻다
ちっとも	조금도
寄る	들르다
捕まえる	붙잡다
絹	비단
飛行場	비행장
下る|さがる	내려가다, 물러나다
急ぐ	서두르다
足りる	충분하다
手伝う	돕다
折る	접다, 꺾다
ガソリンスタンド	주유소
褒める	칭찬하다
オートバイ	오토바이
引っ越す	이사하다
割れる	깨지다
乾く	마르다
滑る	미끄러지다
ファックス	팩스
ごちそう	대접, 진수성찬
寝坊	늦잠
汽車	기차
品物	물품
下宿	하숙
電報	전보
乗り換える	갈아타다
消しゴム	지우개
足す	더하다
濡れる	젖다
いじめる	괴롭히다
冷える	차가워지다
焼ける	타다, 구워지다
訪ねる	방문하다
止む	그치다
包む	싸다, 포장하다
汚れる	더러워지다
予習	예습
床屋	이발소
家内	아내 (나의)
すっと	쓱, 후련히
なさる	하시다
空く|あく	비다
空く|すく	비다, 한산해지다
直る	고쳐지다
釣る	낚다
木綿	무명, 면
申し上げる	말씀드리다
植える	심다
沸く	끓다
申す	말씀드리다 (겸양)
下りる	내려오다
真中	한가운데
叱る	꾸짖다
講堂	강당
似る	닮다
伺う	여쭙다, 찾아뵙다
ワープロ	워드프로세서
写す	베끼다, 찍다
押し入れ	붙박이장
参る	가다, 오다 (겸양)
取り替える	교환하다
お土産	선물, 기념품
沸かす	끓이다
再来週	다다음 주
うかがう	여쭙다
差し上げる	드리다
致す	하다 (겸양)
一度	한 번
十分	충분
この頃	요즘
落す	떨어뜨리다
点く	켜지다
堅; 硬; 固い	딱딱하다, 굳다
かまう	상관하다, 신경 쓰다
召し上がる	드시다
再来月	다다음 달
落る	떨어지다
楽む	즐기다
非常に	매우
連れる	데리고 가다
～区	~구
やはり; やっぱり	역시
～月|～つき	~달
～会	~회 (모임)
運転手	운전기사
お宅	댁
～ございます	~입니다, 있습니다 (정중)
～製	~제
～軒	~채 (집)
レポート; リポート	리포트
～学部	~학부
パート (タイム)	파트타임
～式	~식
～家|～か	~가 (전문가)
動物園	동물원
会議室	회의실
いくら～ても	아무리 ~해도
けんかする	싸우다
～(て) しまう	~해 버리다
お祭り	축제
～員	~원
けがする	다치다
～ばかり	~만, 막 ~함
～だす	~하기 시작하다
食料品	식료품
ご主人	남편분, 주인
ごらんになる	보시다
おつり	거스름돈
チェックする	체크하다
～ちゃん	~짱 (친근한 호칭)
～続ける	계속 ~하다
～やすい	~하기 쉽다
びっくりする	깜짝 놀라다
おいでになる	계시다, 오시다
～始める	~하기 시작하다
お金持ち	부자
～まま	~한 채로
～(に) よると	~에 의하면
駐車場	주차장
天気予報	일기 예보
高校; 高等学校	고등학교
～おわる	다 ~하다
お見舞い	병문안
～様	~님
～代	~대 (연대), ~비
展覧会	전람회
～おき	~걸러, ~간격
御～|ご～	(존경·미화의 접두어) 고~
新聞社	신문사
回る、回す	돌다, 돌리다
～君	~군
スーパー (マーケット)	슈퍼마켓
ひげ	수염
研究室	연구실
けれど; けれども	하지만
～(に) ついて	~에 대해
コンピュータ; コンピューター	컴퓨터
～町	~마을, ~정
看護婦	간호사
～にくい	~하기 어렵다
～目	~째
