# N2 단어 한국어 뜻
発売	발매
上品	품위 있음
芯	심, 속
水曜	수요일
電流	전류
銅	구리
内科	내과
卑怯	비겁
武士	무사
姪	조카딸
感激	감격
葬式	장례식
手入れ	손질
役人	관리, 공무원
さようなら	안녕히 가세요
森林	삼림
短編	단편
中年	중년
長女	장녀
別荘	별장
屋外	옥외
改札	개찰
血圧	혈압
刺身	회
相違	차이
頂点	정점
定員	정원
バケツ	양동이
肘	팔꿈치
木材	목재
ロッカー	사물함
あれこれ	이것저것
井戸	우물
原始	원시
頭脳	두뇌
仲良し	사이좋음, 단짝
売り切れ	매진
シャッター	셔터
ふわふわ	푹신푹신
無数	무수
惜しい	아깝다
恩恵	은혜, 혜택
解答	해답
学力	학력
工芸	공예
ゼミ	세미나
団地	단지 (아파트)
安易	안이
休業	휴업
紙幣	지폐
消毒	소독
地名	지명
停車	정차
的確	적확, 정확
ビニール	비닐
分布	분포
解く|ほどく	풀다
マフラー	목도리
薬品	약품
漁師	어부
ギャング	갱
金魚	금붕어
高層	고층
持参	지참
接する	접하다
峠	고개
文献	문헌
名所	명소
小母さん	아주머니
あふれる	넘치다
コンクール	콩쿠르
しつこい	끈질기다
水面	수면
住まい	사는 곳
艶	윤기
南米	남미
響く	울리다
カーブ	커브
釜	솥
釘	못
巡査	순경
上旬	상순
真空	진공
南北	남북
真っ白	새하얌
アクセント	악센트, 억양
漁業	어업
下品	천박함
紅葉|こうよう	단풍
コック	요리사
酒場	술집
探る	더듬어 찾다, 탐색하다
時速	시속
地盤	지반
抽象	추상
半島	반도
醜い	추하다
紅葉|もみじ	단풍, 단풍나무
氏名	성명
盗難	도난
フライパン	프라이팬
平凡	평범
便所	변소
夜行	야행, 야간열차
憧れる	동경하다
車輪	바퀴
心身	심신
並行	병행
真っ先	맨 먼저
要領	요령
理科	과학 (교과)
飽くまで	어디까지나
謙虚	겸허
蒸気	증기
水産	수산
突っ込む	찔러 넣다, 파고들다
見本	견본
乱暴	난폭
家屋	가옥
各自	각자
過失	과실
カセット	카세트
学級	학급
祖先	조상
ブラシ	솔
モダン	모던
オーケストラ	오케스트라
可決	가결
空想	공상
食器	식기
属する	속하다
兵隊	군인
名字	성
列島	열도
片道	편도
扇風機	선풍기
農薬	농약
半径	반지름
摩擦	마찰
厳重	엄중
コーラス	합창
大工	목수
バイバイ	바이바이
標識	표지
真っ暗	캄캄함
足跡	발자국
一昨日|いっさくじつ	그저께
缶詰	통조림
毛皮	모피
小便	소변
栓	마개
率直	솔직
引き出す	끌어내다, 인출하다
ひとまず	일단
日の出	해돋이
盆	쟁반, 백중 (오봉)
真っ黒	새까맘
見直す	다시 보다
火傷	화상
当てはまる	들어맞다
曲線	곡선
締め切り	마감
それなのに	그런데도
長所	장점
文脈	문맥
目安	기준
酔っ払い	술주정뱅이
追いかける	뒤쫓다
光線	광선
さわやか	상쾌함
順序	순서
特色	특색
吹雪	눈보라
儲かる	벌이가 되다
嫌がる	싫어하다
開会	개회
過半数	과반수
効力	효력
童話	동화
生意気	건방짐
レジャー	레저
味わう	맛보다
クリーニング	세탁
下車	하차
しっぽ	꼬리
例える	비유하다
女房	아내 (마누라)
俳句	하이쿠
歯磨き	양치질, 치약
筆者	필자
文芸	문예
エプロン	앞치마
園芸	원예
客席	객석
口実	구실
重点	중점
青少年	청소년
取り出す	꺼내다
南極	남극
鉢	화분, 사발
領収	영수
瓦	기와
恐縮	송구함
敬語	경어
磁石	자석
失恋	실연
垂直	수직
好き嫌い	호불호, 편식
伝染	전염
方程式	방정식
物凄い	굉장하다
叔母	숙모, 이모, 고모
下町	서민 동네
白髪	흰머리
大して	그다지
電球	전구
破片	파편
日帰り	당일치기
利害	이해 (득실)
間も無く	곧
車庫	차고
寸法	치수
強気	강경함
ねじ	나사
開通	개통
拡充	확충
崩れる	무너지다
下水	하수
交差	교차
採点	채점
出来上がり	완성
出迎え	마중
留まる|とどまる	머무르다
留まる|とまる	멈추다, 머물다
岬	곶
目印	표시
矢印	화살표
空っぽ	텅 빔
休養	휴양
削る	깎다
蒸発	증발
貯蔵	저장
独り言	혼잣말
掘る	파다
海水浴	해수욕
配る	나누어 주다
月給	월급
懸命	열심
算数	산수
洒落	농담, 멋
商社	상사 (무역회사)
大小	대소
両側	양쪽
規律	규율
県庁	현청
綱	밧줄
蘇る	되살아나다
伯父	큰아버지
換気	환기
勝敗	승패
税関	세관
代名詞	대명사
中性	중성
超過	초과
歯車	톱니바퀴
大通り	큰길
補う	보충하다
純情	순정
ダイヤル	다이얼
脱線	탈선
断定	단정
力強い	힘차다
仲直り	화해
踏切	건널목
まく	감다, 뿌리다
言い出す	말을 꺼내다
温室	온실
下降	하강
シーツ	시트
湿気|しっき	습기
しめる	축축해지다
ストッキング	스타킹
農村	농촌
不規則	불규칙
夕日	석양
お帰り	잘 다녀왔어
崩す	무너뜨리다
ごちそうさま	잘 먹었습니다
挟む	끼우다
めまい	현기증
催し	행사
問答	문답
一昨年	재작년
仮名	가나
在学	재학
実例	실례
スカーフ	스카프
西暦	서기
絶えず	끊임없이
誓う	맹세하다
引き分け	무승부
標本	표본
脅かす|おどかす	위협하다, 놀라게 하다
思い切り	마음껏, 단념
口紅	립스틱
現に	실제로
コンセント	콘센트
書道	서예
ぜひとも	꼭
洗面	세면
待合室	대합실
留守番	집 보기
暴れる	난폭하게 굴다
屑	부스러기
サイレン	사이렌
セメント	시멘트
素質	소질
近々	머지않아
顕微鏡	현미경
鉱物	광물
公務	공무
紺	감색, 남색
測量	측량
日差し	햇살
日にち	날짜
へそ	배꼽
くれぐれも	부디, 아무쪼록
下駄	나막신
先程	아까
しみじみ	절실히
修繕	수선
終点	종점
初級	초급
全集	전집
手洗い	화장실, 손 씻기
灯台	등대
ピストル	권총
不運	불운
望遠鏡	망원경
お先に	먼저
恋しい	그립다
人命	인명
中途	중도
並木	가로수
農産物	농산물
附属	부속
三日月	초승달
目次	목차
リポート	리포트
荒い	거칠다
遠足	소풍
炭鉱	탄광
たんす	옷장
取り入れる	받아들이다, 거두어들이다
中指	가운뎃손가락
万歳	만세
ふざける	장난치다
まぶた	눈꺼풀
余る	남다
運河	운하
活力	활력
くしゃみ	재채기
公害	공해
人造	인조
売店	매점
北極	북극
めでたい	경사스럽다
古里	고향
活字	활자
起床	기상
座布団	방석
締切	마감
背負う	짊어지다
地質	지질
月日	세월
手頃	알맞음
溶岩	용암
呼び出す	불러내다
煙突	굴뚝
斬る	베다
原産	원산
車掌	차장
短所	단점
文体	문체
浮く	뜨다
貸し出し	대출
逆さ	거꾸로
縞	줄무늬
造船	조선
直通	직통
照らす	비추다
筆記	필기
分量	분량
包帯	붕대
緩い	느슨하다, 완만하다
ローマ字	로마자
和服	일본 옷
却って	오히려
重たい	무겁다
災難	재난
スリッパ	슬리퍼
着々	착착
電柱	전봇대
飛び込む	뛰어들다
文房具	문구
街角	길모퉁이
ミシン	재봉틀
生き生き	생생하게
ウーマン	여성
座敷	다다미방
絞る	짜다, 좁히다
図形	도형
たちまち	순식간에
頼もしい	믿음직하다
日課	일과
麓	기슭
噴水	분수
やかん	주전자
あいまい	애매
荒れる	거칠어지다
イコール	이퀄, 같음
妨げる	방해하다
溶かす	녹이다
早口	빠른 말
坊さん	스님
加速度	가속도
小指	새끼손가락
蛇口	수도꼭지
重役	중역
所々	군데군데
父母	부모
方角	방향
看病	간병
縛る	묶다
物騒	뒤숭숭함, 위험함
夕刊	석간
消防署	소방서
増減	증감
日陰	그늘
儲ける	벌다
モノレール	모노레일
裁縫	바느질
熟語	숙어
寝台	침대
水筒	물통
正門	정문
チョーク	분필
通帳	통장
潰れる	찌그러지다, 망하다
ブローチ	브로치
受取	수령, 영수증
社説	사설
鉄砲	총
当番	당번
憎む	미워하다
梯子	사다리
斜	비스듬함
みっともない	꼴사납다
幼稚	유치함
危うい	위태롭다
おめでたい	경사스럽다
膨らむ	부풀다
閉会	폐회
快晴	쾌청
雑音	잡음
羊毛	양모
改める	고치다
着替える	갈아입다
剃る	면도하다
大木	큰 나무
灯油	등유
坊や	꼬마
官庁	관청
刻む	잘게 썰다, 새기다
差し支え	지장
末っ子	막내
正方形	정사각형
長方形	직사각형
ブラウス	블라우스
輸血	수혈
植木	정원수, 화분 나무
格別	각별
火口	분화구
固まる	굳다
険しい	험하다
遡る	거슬러 올라가다
主語	주어
初歩	초보
水蒸気	수증기
努める	힘쓰다
恨む	원망하다
うろうろ	어슬렁어슬렁
押さえる	누르다, 억누르다
催促	재촉
楕円	타원
詰まる	막히다, 가득 차다
鈍い|にぶい	둔하다
鈍い|のろい	느리다, 둔하다
物置	헛간
交替	교대
御覧	보심
四角い	네모나다
集金	수금
せっせと	부지런히
無地	무지 (무늬 없음)
括弧	괄호
激増	급증
足る	충분하다
伝記	전기
特売	특매
ばね	용수철
符号	부호
見送る	배웅하다, 보류하다
揉む	주무르다
やかましい	시끄럽다, 까다롭다
流域	유역
ウール	울
組合せ	조합
組み立てる	조립하다
作製	제작
錆	녹
扇子	부채 (접는)
曲げる	구부리다
真っ青	새파람
欲張り	욕심쟁이
幾分	약간
一段と	한층
オルガン	오르간
着せる	입히다
定規	자
体積	부피
売れ行き	팔림새
形容詞	형용사
校庭	교정
親類	친척
送別	송별
不潔	불결
見掛け	겉보기
民謡	민요
迷信	미신
潜る	잠수하다, 기어들다
呆れる	어이없어하다
絵の具	물감
乾電池	건전지
山林	산림
ナイロン	나일론
プラットホーム	플랫폼
出来上がる	완성되다
逃がす	놓치다, 놓아주다
見上げる	올려다보다
ろうそく	양초
明け方	새벽
応対	응대
くっつく	달라붙다
自習	자습
初旬	초순
赤道	적도
でたらめ	엉터리
転々	전전
長引く	길어지다
免税	면세
緯度	위도
かるた	카드놀이
どきどき	두근두근
為す	하다, 이루다
乗換	환승
剥がす	벗기다, 떼다
ファスナー	지퍼
面倒臭い	귀찮다
狡い	교활하다
材木	목재
専制	전제
出入り口	출입구
どっと	와르르, 우르르
採る	채택하다, 채집하다
なにしろ	어쨌든
家主	집주인
裏口	뒷문
うんと	잔뜩
騒がしい	시끄럽다
雑巾	걸레
塞ぐ	막다
箒	빗자루
目下|めした	손아랫사람
円周	원주
枯れる	시들다
転がる	구르다
等分	등분
能率	능률
要旨	요지
障子	장지문
整数	정수
吊る	매달다
取り消す	취소하다
針金	철사
夕立	소나기
再三	여러 번
敷く	깔다
私鉄	사철 (민영 철도)
淡水	담수
茶色い	갈색이다
慰める	위로하다
ビルディング	빌딩
編み物	뜨개질
伯母	큰어머니, 이모, 고모
垣根	울타리
からかう	놀리다
謙遜	겸손
献立	식단
凸凹	울퉁불퉁
分数	분수
容積	용적
よこす	보내오다
領事	영사
下書き	초안
ぼろ	넝마
見下ろす	내려다보다
傾く	기울다
ためらう	주저하다
何しろ	어쨌든
縫う	꿰매다
風呂敷	보자기
干す	말리다
落第	낙제
水滴	물방울
盛る	담다
略す	생략하다
堪える|こらえる	참다
糊	풀
係わる	관계되다
茂る	무성하다
英和	영일 (사전)
偶数	짝수
薬指	약지
匙	숟가락
直角	직각
甚だしい	심하다
引力	인력
めっきり	눈에 띄게
養分	양분
大凡	대략
飢饉	기근
生ずる	생기다
食塩	식염
通ずる	통하다
何分	아무튼, 부디
にこにこ	싱글벙글
一休み	잠깐 쉼
経度	경도
索引	색인
編む	뜨다, 엮다
元日	설날
湯気	김
粗い	거칠다
お参り	참배
櫛	빗
塩辛	젓갈
損得	손익
あくび	하품
勇ましい	용감하다
浮かべる	띄우다, 떠올리다
薄暗い	어둑하다
怠る	게을리하다
縮む	줄어들다
縮める	줄이다
ぶつぶつ	투덜투덜
毛糸	털실
習字	습자
呑気	태평함
あらわす	저술하다
思い込む	믿어 버리다
砕く	부수다
腰掛け	걸상
助教授	조교수
大層	대단히
振舞う	행동하다
襖	맹장지 (미닫이)
剃刀	면도칼
ぎっしり	빽빽이
始終	시종, 늘
這う	기다
エチケット	에티켓
しゃぶる	빨다
スチュワーデス	스튜어디스
ずらす	비키다, 미루다
速達	속달
出入口	출입구
内線	내선
撫でる	쓰다듬다
跳ねる	뛰다, 튀다
はめる	끼우다
レインコート	비옷
打合せ	협의, 미팅
占う	점치다
囁く	속삭이다
溜息	한숨
直流	직류
振り向く	돌아보다
盆地	분지
入れ物	그릇, 용기
田植え	모내기
判子	도장
広々	널찍함
悔やむ	후회하다, 애도하다
溶け込む	녹아들다
複写	복사
凹む	움푹 패다
衣食住	의식주
くどい	장황하다, 끈덕지다
整う	갖추어지다
引き返す	되돌아가다
温帯	온대
捜す	찾다
目覚し	자명종
かじる	갉아먹다, 조금 배우다
祭日	경축일
正味	알맹이, 정량
炊事	취사
近寄る	다가가다
擦る|こする	비비다, 문지르다
時間割	시간표
戸棚	찬장
怒鳴る	고함치다
物語る	이야기하다, 말해 주다
若々しい	젊디젊다
甘やかす	응석을 받아 주다
草履	짚신 (조리)
立ち止まる	멈춰 서다
命ずる	명하다
宛名	수신인
引っ掛かる	걸리다
日日	날짜
書留	등기 우편
転がす	굴리다
信ずる	믿다
煉瓦	벽돌
当てはめる	적용하다
拝む	절하다, 빌다
投書	투고
日当たり	볕이 듦
人通り	사람의 왕래
部首	부수
悠々	유유히
兼ねる	겸하다
被せる	씌우다
工員	공원 (노동자)
図々しい	뻔뻔하다
断水	단수
ペンチ	펜치
実る	열매 맺다
打ち消す	부정하다
概論	개론
苦心	고심
受話器	수화기
蓄える	저축하다, 비축하다
やっつける	혼내 주다, 해치우다
孝行	효도
果して	과연
落し物	분실물
担ぐ	메다
区切る	구분하다
掛け算	곱셈
くっつける	붙이다
五十音	오십음
しびれる	저리다
みじめ	비참함
受け持つ	담당하다
句読点	구두점
四捨五入	반올림
透き通る	비쳐 보이다
秤	저울
恵まれる	혜택받다
ラッシュアワー	러시아워
敬う	공경하다
またぐ	넘어가다, 걸치다
随筆	수필
蒸す|ふす	찌다, 무덥다
真似る	흉내 내다
俄	갑작스러움
同格	동격
坊っちゃん	도련님
青白い	창백하다
仕上がる	완성되다
単数	단수
道順	길 순서
喧しい	시끄럽다
羨む	부러워하다
肌着	속옷
応接	응접
散らかす	어지르다
朗らか	명랑함
物差し	자, 척도
凍える	얼다
針路	진로
捕る	잡다
日の入り	해넘이
論ずる	논하다
オートメーション	자동화
ちぎる	잘게 찢다
のこぎり	톱
雨戸	덧문
図表	도표
回り道	우회로
厚かましい	뻔뻔스럽다
インキ	잉크
耕す	갈다 (밭을)
彫る	새기다
和英	일영 (사전)
慌ただしい	분주하다
砕ける	부서지다
速力	속력
つまずく	걸려 넘어지다
副詞	부사
軟らかい	부드럽다
売り切れる	매진되다
騒々しい	떠들썩하다
出迎える	마중하다
話合い	의논
呼び掛ける	호소하다, 부르다
小数	소수
清書	정서
長短	장단
捕える	붙잡다
写生	사생
鉄橋	철교
御中	귀중 (편지)
焦げる	타다, 눋다
釣り合う	균형이 잡히다
手ごろ	적당함
点々	점점이
塩辛い	짜다
述語	술어
便箋	편지지
休講	휴강
焦がす	태우다
挟まる	끼다
詫びる	사과하다
生け花	꽃꽂이
清い	맑다
差し引き	차감
謎謎	수수께끼
驚かす	놀라게 하다
規準	규준, 기준
床の間	도코노마
憎らしい	얄밉다
寝間着	잠옷
隔てる	사이에 두다
追い越す	추월하다
客間	객실
のろのろ	느릿느릿
引っ込む	물러나다, 틀어박히다
うなずく	끄덕이다
退ける	물리치다
しゃっくり	딸꾹질
ぴかぴか	반짝반짝
朝寝坊	늦잠꾸러기
下線	밑줄
しゃがむ	쪼그리고 앉다
匂う	냄새가 나다
濁る	탁해지다
睨む	노려보다
牧畜	목축
跨ぐ	넘다, 걸치다
漢和	한일 (사전)
逸れる	빗나가다
引き止める	붙잡다, 만류하다
薄める	묽게 하다
貸家	셋집
裏返す	뒤집다
余所	다른 곳
手拭い	수건
ひとりでに	저절로
膨らます	부풀리다
やむをえない	어쩔 수 없다
飢える	굶주리다
瓶詰	병조림
近付ける	가까이 대다
捻る	비틀다
祭る	모시다, 제사 지내다
耕地	경지
思いっ切り	마음껏
錆びる	녹슬다
船便	선편
躓く	발이 걸려 넘어지다
見舞う	문병하다
順々	차례차례
話し掛ける	말을 걸다
傾らか	완만함
仮名遣い	가나 표기법
しぼむ	시들다
腰掛	걸상
ずらり	죽 (늘어선)
突き当たる	부딪치다
応ずる	응하다
感ずる	느끼다
倣う	본받다
張り切る	힘이 넘치다
威張る	뽐내다
そそっかしい	덜렁대다
算盤	주판
突き当たり	막다른 곳
更ける	(밤이) 깊어지다
腰掛ける	걸터앉다
静まる	조용해지다
湯飲み	찻잔
ぴたり	딱
店屋	가게
破く	찢다
心得る	알다, 터득하다
振り仮名	후리가나
紙屑	휴지
まぜる	섞다
締め切る	마감하다
くるむ	싸다
塞がる	막히다
剥す	벗기다
払い戻す	환불하다
待ち合わせる	만나기로 하다
瀬戸物	도자기
乗り越し	하차역 지나침
まごまご	우물쭈물
各々	각각
粗筋	줄거리
照る	비치다
散らかる	어질러지다
放る	던지다, 내버려 두다
銘々	각자
見慣れる	눈에 익다
捩る	비틀다
尖る	뾰족해지다
ごめんください	계세요?
人差指	집게손가락
承る	삼가 듣다 (겸양)
寝巻	잠옷
はきはき	시원시원하게
見詰める	응시하다
寒帯	한대
ばからしい	어리석다
そうっと	살그머니
四つ角	네거리
慶ぶ	기뻐하다
吊す	매달다
もやす	태우다
浮ぶ	뜨다, 떠오르다
可愛がる	귀여워하다
萎む	시들다
あぶる	굽다, 쬐다
形容動詞	형용동사
御無沙汰	격조 (오랜만)
ダイヤグラム	다이어그램
涼む	바람을 쐬다
扇ぐ	부채질하다
田ぼ	논
煙い	맵다 (연기)
まじる	섞이다
こしらえる	만들다
レクリェーション	레크리에이션
ウエートレス	웨이트리스
炒る	볶다
片寄る	치우치다
くたびれる	지치다, 낡다
まざる	섞이다
煎る	볶다
逆様	거꾸로
売行き	팔림새
かしょ	개소, 곳
ふくめる	포함시키다
存ずる	알다, 생각하다 (겸양)
ぶらさげる	매달다
タイア	타이어
払い込む	납입하다
無沙汰	격조함
割算	나눗셈
落着く	진정되다
引っ繰り返る	뒤집히다
明明後日	글피
引分け	무승부
〜 (まる) ごと	통째로 ~
(かさを～) さす	(우산을) 쓰다
〜(日本) 式	~식 (일본식)
～位	~위
～いち (にほんいち)	~제일 (일본 제일)
～園	~원 (정원)
～おしまい (おわり)	~끝
～日|～か	~일 (날 수)
～下	~하, ~아래
～化	~화
～科	~과
～歌	~가 (노래)
～画|～が	~화 (그림)
～外	~외
～難い	~하기 어렵다
～がち	자주 ~하다
～刊	~간 (발행)
～間	~간, ~사이
～巻	~권
～館	~관
～感	~감
～期	~기
～器	~기 (기구)
～機	~기 (기계)
～気味	~기미
～教	~교
～行	~행 (줄)
～業	~업
～きる	다 ~하다
～切れ	~이 떨어짐
～口	~구 (출입구)
～家|～け	~가 (집안)
～形	~형
～系	~계
～圏	~권
～校	~교
～港	~항
～号	~호
～国	~국
～毎	~마다
～山	~산
～産	~산 (산지)
～史	~사 (역사)
～紙	~지
～寺	~사 (절)
～時間目	~교시
～室	~실
～日|～じつ	~일
～車	~차
～者	~자
～社	~사 (회사)
～手	~수, ~하는 사람
～酒	~주
～集	~집
～所|～しょ	~소
～所|～じょ	~소
～女	~녀
～省	~성 (부처)
～商	~상
