# N1 단어 한국어 뜻
俺	나 (남성, 거친 말)
走行	주행
措置	조치
誘導	유도
バッテリー	배터리
非難	비난
原則	원칙
合意	합의
排除	배제
関与	관여
統合	통합
どうやら	아무래도
加入	가입
タレント	연예인
判定	판정
好評	호평
個別	개별
今更	새삼스럽게
網	그물
移住	이주
正常	정상
正当	정당
恥	수치, 창피
シナリオ	시나리오
不動産	부동산
名称	명칭
もしかして	혹시
美術	미술
根拠	근거
同盟	동맹
配慮	배려
究極	궁극
天国	천국
推測	추측
嫉妬	질투
保守	보수
個性	개성
肉体	육체
転換	전환
所持	소지
タワー	타워
論理	논리
実践	실천
復興	부흥
無効	무효
履歴	이력
反発	반발
抗議	항의
合成	합성
試み	시도
止める|とどめる	멈추다, 그치다
証言	증언
象徴	상징
進出	진출
保育	보육
予感	예감
投入	투입
株式	주식
幹部	간부
提示	제시
でかい	크다 (속어)
フロント	프런트
妨害	방해
避ける|よける	피하다, 비키다
刃	칼날
兆	조짐
疑惑	의혹
いかに	어떻게, 아무리
いざ	막상, 자
出産	출산
分離	분리
志	뜻, 포부
自覚	자각
記述	기술 (서술)
言い訳	변명
中毒	중독
要因	요인
描写	묘사
孤独	고독
財政	재정
伴う	동반하다
念	생각, 마음
廃棄	폐기
親父	아버지 (속어)
共和	공화
到達	도달
所得	소득
単独	단독
知的	지적
襲撃	습격
ペア	짝
反乱	반란
在庫	재고
最中|さなか	한창
独占	독점
黄金	황금
進み	진행
頻繁	빈번
ポーズ	포즈
ポジション	위치
削減	삭감
決断	결단
得点	득점
液	액체
おまけ	덤
自主	자주
対決	대결
実態	실태
修行	수행
放射	방사
本名	본명
要望	요망
欲	욕심
規格	규격
共感	공감
クイズ	퀴즈
調理	조리
ひたすら	오로지
国連	유엔
根本	근본
栽培	재배
結成	결성
ガイド	가이드
緩和	완화
芸	재주, 예능
麻	삼, 마
審議	심의
側面	측면
罰	벌
本質	본질
まして	하물며
決意	결의
賠償	배상
移民	이민
雄	수컷
回路	회로
勘弁	용서
情熱	정열
人格	인격
紳士	신사
損失	손실
抽選	추첨
ジャズ	재즈
品質	품질
負傷	부상
誠	진실, 성실
屋敷	저택
甲	갑 (첫째), 등딱지
委託	위탁
出品	출품
侵略	침략
手順	순서, 절차
ブル	황소
補給	보급
モニター	모니터
良し	좋아
流通	유통
雑	조잡함
脚本	각본
遺跡	유적
促進	촉진
阻止	저지
連休	연휴
放出	방출
野生	야생
レギュラー	레귤러, 정규
反射	반사
確立	확립
協定	협정
パチンコ	파친코
札|ふだ	패, 표찰
法案	법안
冒頭	서두
もたらす	가져오다, 초래하다
誘惑	유혹
秘書	비서
公認	공인
再会	재회
雑談	잡담
侍	사무라이
逃亡	도망
エンジニア	엔지니어
動機	동기
異性	이성
そこら	그 근처
本音	본심
現行	현행
特許	특허
演じる	연기하다
階級	계급
改良	개량
花粉	꽃가루
貴族	귀족
聖書	성서
世帯	세대 (가구)
ミュージック	음악
抑制	억제
果て	끝
半端	어중간함
極端	극단
軽減	경감
条約	조약
診療	진료
救い	구원
主体	주체
変動	변동
幽霊	유령
経歴	경력
敗北	패배
還元	환원
軌道	궤도
グレー	회색
賃金	임금
追放	추방
貧困	빈곤
誇る	자랑하다
弓	활
立体	입체
健全	건전
一見	언뜻 봄
訪れる	방문하다, 찾아오다
観点	관점
真相	진상
大衆	대중
追跡	추적
提携	제휴
手軽	손쉬움
収容	수용
用品	용품
レッスン	레슨
悲惨	비참
国産	국산
堂々	당당함
キャッチ	캐치
上陸	상륙
分散	분산
無断	무단
比率	비율
原子	원자
祈り	기도
受け入れる	받아들이다
蔵	창고, 곳간
信者	신자
振動	진동
バッジ	배지
じっくり	차분히
良心	양심
構想	구상
護衛	호위
火星	화성
活発	활발
業績	업적
主導	주도
育ち	자람, 성장 환경
丈	길이, 키
手元	손안, 곁
暴露	폭로
了承	승낙
特有	특유
富	부
肝心	중요함
勧誘	권유
居住	거주
統治	통치
職務	직무
墜落	추락
レンジ	레인지
叩く|はたく	털다, 두드리다
本能	본능
欲望	욕망
歯科	치과
しかしながら	그렇지만
内緒	비밀
内蔵	내장
一連	일련
未だ	아직
強烈	강렬
処置	처치
戦術	전술
潜水	잠수
大胆	대담
ヒント	힌트
穂	이삭
好意	호의
叫び	외침
取扱	취급
尿	소변
背後	배후
怪獣	괴수
会談	회담
救済	구제
津波	해일, 쓰나미
適応	적응
不在	부재
復旧	복구
ポンプ	펌프
身近	가까움, 친근함
融資	융자
有する	가지다, 소유하다
余地	여지
ランプ	램프
飼育	사육
介入	개입
技能	기능
顎	턱
神秘	신비
繊維	섬유
天下	천하
発掘	발굴
捕虜	포로
故	까닭, 고 (故)
工学	공학
潮	조수, 바닷물
同等	동등
嘘つき	거짓말쟁이
干渉	간섭
脅迫	협박
同情	동정
意向	의향
全滅	전멸
戦力	전력
装飾	장식
相対	상대
相場	시세
対話	대화
治安	치안
中断	중단
重複|ちょうふく	중복
連盟	연맹
爆破	폭파
果たす	다하다, 완수하다
収益	수익
重複|じゅうふく	중복
フォーム	폼, 형식
ボルト	볼트
末期	말기
落下	낙하
類似	유사
反撃	반격
簡易	간이
いい加減	적당함, 무책임함
守備	수비
捜索	수색
保つ	유지하다
腸	장, 창자
ロープ	밧줄
使命	사명
疲労	피로
分裂	분열
本文	본문
見込み	전망, 가망
浜	해변
燃焼	연소
一括	일괄
開拓	개척
玩具	장난감
規約	규약
赤字	적자
主任	주임
訂正	정정
手配	준비, 수배
始末	처리, 뒷수습
比例	비례
予言	예언
良好	양호
何だか	어쩐지
革新	혁신
統制	통제
逃走	도주
チェンジ	변경
着陸	착륙
蝶	나비
品種	품종
ファイト	투지, 파이팅
見通し	전망
バット	배트
人質	인질
再建	재건
権威	권위
及ぶ	미치다, 이르다
改修	개수, 보수
格差	격차
庶民	서민
自立	자립
推理	추리
潜入	잠입
秩序	질서
芝	잔디
不審	수상함
分子	분자
奉仕	봉사
有力	유력
遥か	아득함
日向	양지
後退	후퇴
心地	기분, 느낌
孤立	고립
経路	경로
結合	결합
なんだかんだ	이러쿵저러쿵
同居	동거
施行	시행
昇進	승진
神聖	신성
短縮	단축
直感	직감
手当	수당, 치료
返還	반환
来場	내장 (행사장에 옴)
細菌	세균
サイクル	주기
定める	정하다
ドリル	드릴, 연습 문제
沼	늪
一目	한눈
愚か	어리석음
アプローチ	접근
人体	인체
進展	진전
ずれ	어긋남
征服	정복
退治	퇴치
視野	시야
従事	종사
弁護	변호
放射能	방사능
満たす	채우다
野外	야외
繁殖	번식
日焼け	햇볕에 탐
原爆	원자폭탄
溝|どぶ	시궁창, 도랑
威力	위력
外観	외관
カメラマン	사진작가
給食	급식
持続	지속
あっさり	담백하게, 간단히
助言	조언
指令	지령
知性	지성
出血	출혈
ふさわしい	어울리다
捕獲	포획
溝|みぞ	도랑, 홈
無茶	터무니없음
利点	이점
残酷	잔혹
気象	기상
柔軟	유연
複合	복합
紛争	분쟁
模型	모형
密か	은밀함
乃至	내지
取り戻す	되찾다
上回る	웃돌다
客観	객관
占領	점령
待遇	대우
打撃	타격
沈黙	침묵
筒	통
ブーツ	부츠
法廷	법정
褒美	상, 포상
麻酔	마취
優位	우위
領土	영토
講習	강습
結晶	결정
意欲	의욕
合唱	합창
経費	경비
情勢	정세
除外	제외
人民	인민
対談	대담
断言	단언
失格	실격
趣旨	취지
墓地	묘지
麻痺	마비
導く	이끌다
結び	맺음, 결말
預金	예금
パンク	펑크
悲鳴	비명
昆虫	곤충
特権	특권
排水	배수
敗戦	패전
うんざり	지긋지긋함
きっちり	딱, 꼼꼼히
宮殿	궁전
拒絶	거절
アルミ	알루미늄
迅速	신속
揃い	한 벌
妥協	타협
中立	중립
敏感	민감
雌	암컷
ヤング	젊은이
理性	이성
動向	동향
志向	지향
誠実	성실
総会	총회
存続	존속
破損	파손
物資	물자
牧師	목사
引き起こす	일으키다
購読	구독
小売	소매
再発	재발
検事	검사 (검찰)
展望	전망
出世	출세
新築	신축
杖	지팡이
無用	무용, 불필요
ユニフォーム	유니폼
国有	국유
ドライ	드라이
落ち着き	침착함
外来	외래
崖	벼랑
合併	합병
驚異	경이
点検	점검
登校	등교
首脳	수뇌
制定	제정
著書	저서
著名	저명
返済	변제, 상환
ホース	호스
日頃	평소
財	재산
雑貨	잡화
独裁	독재
いっそ	차라리
家畜	가축
感度	감도
動員	동원
辞職	사직
制約	제약
蓄積	축적
徴収	징수
直面	직면
破棄	파기
集計	집계
物体	물체
偏見	편견
暴動	폭동
滅亡	멸망
様式	양식
鉱山	광산
劇団	극단
農場	농장
沿岸	연안
上空	상공
世論|せろん	여론
追及	추궁
未知	미지
密度	밀도
盛り上がる	고조되다, 부풀어 오르다
世論|よろん	여론
必然	필연
交付	교부
担う	짊어지다, 떠맡다
入浴	입욕
カクテル	칵테일
教材	교재
出動	출동
壮大	장대
台本	대본
手遅れ	때늦음
貧乏	가난
封鎖	봉쇄
不当	부당
誠に	참으로
幹	줄기
名簿	명부
色彩	색채
任命	임명
愚痴	푸념
伝達	전달
消去	소거
対面	대면
探検	탐험
出生|しゅっしょう	출생
出生|しゅっせい	출생
招き	초대
峰	봉우리
無能	무능
与党	여당
レバー	레버, 간
万能	만능
公立	공립
運賃	운임
許容	허용
義理	의리
崇拝	숭배
尽くす	다하다
衆議院	중의원
腐敗	부패
ゆとり	여유
要する	요하다
洪水	홍수
国防	국방
決算	결산
途上	도중, 도상
挑む	도전하다
埋める|うずめる	묻다, 메우다
基金	기금
区画	구획
合間	짬, 틈
味わい	맛, 운치
いかにも	정말로, 과연
ゼリー	젤리
定年	정년
終始	시종
侮辱	모욕
分配	분배
待ち合わせ	약속 (만남)
股|もも	허벅지
ユニーク	독특함
原点	원점
討論	토론
制裁	제재
造り	구조, 만듦새
定食	정식 (세트 메뉴)
社交	사교
周期	주기
返答	대답
発作	발작
無言	무언
繁栄	번영
恋する	사랑하다
こだわる	구애되다, 고집하다
参議院	참의원
下痢	설사
特技	특기
改定	개정
勧告	권고
区間	구간
アラブ	아랍
家出	가출
承諾	승낙
増強	증강
不可欠	불가결
付録	부록
補強	보강
募金	모금
面会	면회
模索	모색
用紙	용지
ライス	밥
反響	반향
原型	원형
促す	재촉하다
云々	운운
解剖	해부
絡む	얽히다
換算	환산
寄与	기여
空腹	공복
警部	경감
圧倒	압도
諸君	여러분
調和	조화
主観	주관
不調	부진
無知	무지
明白	명백
模倣	모방
理屈	이치, 핑계
サンキュー	땡큐
決議	결의
化石	화석
カテゴリー	범주
偽造	위조
教訓	교훈
視察	시찰
操る	조종하다
所在	소재
中傷	중상
振り返る	돌아보다
武力	무력
有益	유익
語彙	어휘
暦	달력
トーン	톤
配列	배열
運送	운송
掲げる	내걸다
圧迫	압박
脱退	탈퇴
てっきり	틀림없이 (그런 줄 알았는데)
連日	연일
発足	발족
眉	눈썹
両立	양립
好調	호조
突如	돌연
襲う	습격하다
家計	가계
関税	관세
転落	전락
処罰	처벌
精密	정밀
相応	상응
ソックス	양말
富豪	부호
負債	부채
申込	신청
混同	혼동
倍率	배율, 경쟁률
折	때, 기회
階層	계층
楽譜	악보
アクセル	액셀
新婚	신혼
成熟	성숙
大金	큰돈
主権	주권
未定	미정
ムード	분위기
免除	면제
反する	반하다
固有	고유
座標	좌표
取り組む	몰두하다
配分	배분
既婚	기혼
しょっちゅう	늘, 노상
スプリング	스프링
態勢	태세
台無し	엉망
炭素	탄소
地形	지형
着手	착수
無難	무난
ベストセラー	베스트셀러
補足	보충
猛烈	맹렬
荷	짐
憎しみ	증오
運搬	운반
救援	구원
連帯	연대
文化財	문화재
母国	모국
補充	보충
没収	몰수
略奪	약탈
渚	물가
頑丈	튼튼함
教科	교과
星座	별자리
盛大	성대
団結	단결
パジャマ	파자마
本場	본고장
憂鬱	우울
最善	최선
共存	공존
嗜好	기호
アマチュア	아마추어
異議	이의
セクション	섹션
耐える	견디다
漂う	떠돌다, 감돌다
まさしく	틀림없이
横綱	요코즈나
雛	병아리
敢えて	굳이
行進	행진
孤児	고아
動力	동력
時折	때때로
並びに	및
獲物	사냥감
街道	가도
規範	규범
強行	강행
鮮やか	선명함
過ち	잘못
労力	노력, 수고
弾く|はじく	튕기다
執着|しゅうじゃく	집착
執着|しゅうちゃく	집착
脈	맥
率いる	거느리다
交互	교대로
採掘	채굴
改訂	개정 (책)
過疎	과소 (인구 감소)
早急|そうきゅう	시급
早急|さっきゅう	시급
送金	송금
断然	단연
告げる	알리다
普遍	보편
高原	고원
購買	구매
誤差	오차
内心	내심
逃れる	벗어나다
写し	사본
観覧	관람
値する	가치가 있다
巧み	교묘함
朗読	낭독
不況	불황
奮闘	분투
命中	명중
役職	직책
言論	언론
細工	세공, 잔꾀
さほど	그다지
土木	토목
沿線	연선
河川	하천
感触	감촉
近郊	근교
ありのまま	있는 그대로
大家|たいか	대가, 명문
中枢	중추
封	봉함
満月	보름달
心得	마음가짐, 소양
いやらしい	불쾌하다, 음흉하다
気まぐれ	변덕
首輪	목걸이
道場	도장
樹木	수목
情緒|じょうちょ	정서
情緒|じょうしょ	정서
心情	심정
粋|すい	정수, 순수
切ない	애달프다
創立	창립
体格	체격
長編	장편
仕える	섬기다
沸騰	비등, 끓음
恵み	은혜
設ける	마련하다
優勢	우세
破裂	파열
賢明	현명
公募	공모
国交	국교
同調	동조
ニュアンス	뉘앙스
値引き	할인
望ましい	바람직하다
収まる	수습되다, 들어가다
頑固	완고
歩み	걸음, 발자취
アンコール	앙코르
心中	동반 자살, 심중
代用	대용
使い道	용도
尽きる	다하다
迫害	박해
昼飯	점심
分担	분담
緩やか	완만함
人柄	인품
捧げる	바치다
念願	염원
犯す	범하다
叶う	이루어지다
ガレージ	차고
胴	몸통
自在	자유자재
暗示	암시
案の定	아니나 다를까
上演	상연
大概	대개
重宝	편리함, 귀중히 여김
原油	원유
到底	도저히
入賞	입상
一同	일동
街頭	길거리
化合	화합
郷土	향토
君主	군주
抱っこ	안기
停滞	정체
ポット	포트, 주전자
丸ごと	통째로
目覚める	눈뜨다, 깨어나다
立法	입법
事柄	사항, 일
懸賞	현상
取り除く	제거하다
成り立つ	성립되다
一律	일률
気質	기질
クレーン	크레인
同感	동감
静止	정지
対等	대등
待望	대망
収支	수지
膨張	팽창
味覚	미각
戸籍	호적
コマーシャル	광고
健在	건재
土台	토대
苗	모종
なおさら	더욱더
熱意	열의
檻	우리 (짐승)
期日	기일
予め	미리
出題	출제
神殿	신전
タイムリー	시기적절함
携わる	종사하다
浪費	낭비
変革	변혁
密接	밀접
メロディー	멜로디
巧妙	교묘
取り扱う	취급하다
襟	옷깃
寛容	관용
奨励	장려
真珠	진주
先着	선착
単一	단일
掌	손바닥
布告	포고
赴任	부임
粉末	분말
パトカー	순찰차
華やか	화려함
降水	강수
抗争	항쟁
さも	자못, 정말
土俵	씨름판
音色	음색
簡潔	간결
出費	지출
遭難	조난
対比	대비
断面	단면
貯蓄	저축
ロマンチック	낭만적
私物	사물 (개인 물건)
紛失	분실
模範	모범
抑圧	억압
控える	삼가다, 대기하다
匹敵	필적
財源	재원
竿	장대
唱える	외다, 주장하다
乏しい	부족하다
農地	농지
カーペット	카펫
合致	합치
元年	원년
茎	줄기
軍艦	군함
時差	시차
雫	물방울
後回し	뒤로 미룸
タイマー	타이머
多忙	다망
短歌	단카
調停	조정 (중재)
沈没	침몰
宿命	숙명
フィルタ	필터
ひょっと	어쩌면
こたつ	고타쓰
山岳	산악
残高	잔고
内訳	내역
慣習	관습
素朴	소박
タイル	타일
悪者	나쁜 놈
質疑	질의
始発	첫차
氾濫	범람
小柄	몸집이 작음
自我	자아
仕掛ける	장치하다, 걸다
年頃	나이, 혼기
配給	배급
ガイドブック	안내서
愛想	붙임성
明かす	밝히다, 밤을 새우다
前例	전례
畜生	짐승, 제기랄
唾	침
ジャンボ	점보
本国	본국
野心	야심
特産	특산
叶える	이루어 주다
下地	밑바탕
いじる	만지작거리다
束縛	속박
忠告	충고
蜂蜜	벌꿀
就業	취업
風習	풍습
噴出	분출
平常	평상시
ハンガー	옷걸이
人目	남의 눈
控除	공제
語源	어원
試みる	시도하다
採択	채택
山脈	산맥
尊い	귀하다, 존귀하다
滑らか	매끄러움
且つ	또한
過労	과로
鍛える	단련하다
漁船	어선
天体	천체
あざ	멍, 반점
焦る	초조해하다
生かす	살리다
創刊	창간
着色	착색
聴覚	청각
ちょくちょく	자주
出社	출근
見逃す	놓치다, 눈감아 주다
目録	목록
養護	양호
楽観	낙관
引き上げる	끌어올리다, 철수하다
ことごとく	모조리
乗り込む	올라타다
インターナショナル	국제적
インフレ	인플레이션
落ち込む	침울해지다, 떨어지다
均衡	균형
黒字	흑자
傾斜	경사
痛感	통감
失調	실조
捕鯨	포경
滅ぼす	멸망시키다
見合い	맞선
未婚	미혼
無邪気	천진난만
物足りない	어딘가 부족하다
ややこしい	복잡하다
良質	양질
一息	한숨 돌림
コンパス	컴퍼스
異論	이론 (다른 의견)
斡旋	알선
裾	옷자락
是正	시정
先代	선대
塵|ちり	먼지
有望	유망
根底	근저
産物	산물
元素	원소
整える	정돈하다
鉛	납
外相	외무장관
貨幣	화폐
境遇	처지
等級	등급
適性	적성
主題	주제
母校	모교
舞う	춤추다, 흩날리다
勝る	낫다, 뛰어나다
見積もり	견적
浴室	욕실
原文	원문
結束	결속
当人	당사자
臆病	겁이 많음
強硬	강경
転勤	전근
新入生	신입생
生死	생사
斜面	경사면
修士	석사
無口	과묵
無駄遣い	낭비
勇敢	용감
公然	공공연함
仕上がり	완성, 마무리
逃す	놓치다
一変	일변
応急	응급
眼科	안과
ストライキ	파업
他方	한편
堤防	제방
レンタカー	렌터카
露骨	노골적
主食	주식
舗装	포장 (도로)
花びら	꽃잎
参上	찾아뵘
腕前	솜씨
ぐっと	꾹, 훨씬
陶器	도기
製法	제조법
税務署	세무서
船舶	선박
着目	착안
貫く	관통하다, 관철하다
藁	짚
夕暮れ	해 질 녘
初耳	처음 듣는 이야기
左利き	왼손잡이
軽蔑	경멸
脅かす|おびやかす	위협하다
学芸	학예
危害	위해
区切り	단락, 매듭
刺繍	자수
所定	소정
世辞	겉치레 말, 아첨
窒息	질식
つくづく	곰곰이, 절실히
ろくな	변변한
覆面	복면
飽和	포화
待ち遠しい	몹시 기다려지다
無論	물론
利子	이자
レディー	숙녀
心強い	든든하다
鳥居	도리이 (신사 입구 문)
すんなり	순조롭게, 날씬하게
切実	절실
溜まり	괸 곳, 모이는 곳
手掛ける	손수 다루다
変遷	변천
密集	밀집
おむつ	기저귀
外貨	외화
組み合わせる	짜 맞추다
軍服	군복
天地	천지
捗る	진척되다
仏像	불상
役場	면사무소, 관공서
養う	기르다, 부양하다
冷酷	냉혹
採算	채산
著しい	현저하다
受け止める	받아들이다
運輸	운수
遠方	먼 곳
海峡	해협
構える	자세를 취하다, 차리다
生計	생계
善良	선량
代弁	대변
斑	얼룩, 고르지 않음
やけに	몹시, 유난히
休める	쉬게 하다
融通	융통
反感	반감
悲観	비관
一筋	외곬, 한 줄기
口頭	구두
誇張	과장
錯誤	착오
独創	독창
年長	연장
一心	일심, 한마음
議事堂	의사당
歩む	걷다
ストロー	빨대
責務	책무
突く|つつく	쿡쿡 찌르다
手本	본보기
不意	불의, 갑작스러움
並列	병렬
光沢	광택
採決	표결
決	결정, 표결
営む	경영하다, 영위하다
生まれつき	타고남
カルテ	진료 기록
自尊心	자존심
保養	보양
無念	원통함
兼用	겸용
滑稽	우스꽝스러움
激励	격려
内陸	내륙
逃げ出す	도망치다
趣	정취, 취지
喜劇	희극
起点	기점
窮屈	갑갑함
くっきり	또렷이
消息	소식
不振	부진
解ける|ほどける	풀리다
真下	바로 아래
無茶苦茶	엉망진창
様相	양상
浜辺	바닷가
賛美	찬미
情け	인정, 동정
納入	납입
衣類	의류
裏返し	뒤집음
大空	넓은 하늘
同い年	동갑
眼球	안구
群衆	군중
安静	안정 (휴식)
裸足	맨발
便宜	편의
日の丸	일장기
取り付ける	설치하다, 얻어 내다
問屋	도매상
延べ	연 (합계)
円滑	원활
お供	수행, 동행
共鳴	공명
刑罰	형벌
転居	이사
素早い	재빠르다
生育	생육
体裁	체면, 겉모양
無礼	무례
用法	용법
現像	현상 (사진)
名残	자취, 여운
一気	단숨
受け継ぐ	이어받다
織物	직물
傍ら	곁, 한편
粥	죽
かろうじて	간신히
書評	서평
スチーム	스팀
晴天	맑은 날씨
漏らす	새게 하다, 누설하다
さっと	휙, 재빨리
取り替え	교환
鈍感	둔감
梅干し	매실장아찌
追い込む	몰아넣다
聞き取り	청취, 듣기
軽率	경솔
小児科	소아과
壷	항아리
身の回り	신변
良識	양식 (분별)
込める	담다
産婦人科	산부인과
嘆く	한탄하다
ナプキン	냅킨
生身	산 몸
効き目	효과
議題	의제
短気	성급함
短大	전문대
未練	미련
明瞭	명료
繁盛	번성
晩年	만년
固める	굳히다
カンニング	커닝
休戦	휴전
水源	수원
スポーツカー	스포츠카
セレモニー	의식
だるい	나른하다
躾	예의범절 교육
名産	명산물
必修	필수
寒気	오한, 한기
売り出し	대매출, 세일
棄権	기권
打開	타개
デッサン	데생
失脚	실각
施す	베풀다, 실시하다
丸々	통째로, 온전히
ミセス	부인
差し出す	내밀다, 제출하다
取り巻く	둘러싸다
一部分	일부분
追い出す	내쫓다
簡素	간소
禁物	금물
使用人	고용인
風土	풍토
没落	몰락
はまる	빠지다, 꼭 맞다
差額	차액
桟橋	부두, 잔교
吟味	음미, 검토
軽快	경쾌
達者	능숙함, 건강함
邸宅	저택
終日	종일
手芸	수예
貧弱	빈약
不評	악평
滅びる	멸망하다
微笑	미소
遠回り	우회
ナンセンス	난센스
貝殻	조개껍데기
勤労	근로
覆す	뒤집다
下心	속셈
辛抱	참음
清純	청순
増進	증진
染める	물들이다
陳列	진열
費やす	쓰다, 소비하다
蕾	봉오리
てっぺん	꼭대기
論議	논의
ぶらぶら	어슬렁어슬렁, 대롱대롱
埋蔵	매장
申し分	나무랄 데
優越	우월
荒らす	망치다, 어지럽히다
香辛料	향신료
いびき	코골이
インフォメーション	정보, 안내
雨天	우천
観衆	관중
子息	자제 (아들)
間柄	관계, 사이
水田	논
建前	표면상의 방침
辿る	더듬어 가다
ちらっと	힐끗
地主	지주
憤慨	분개
法学	법학
暴風	폭풍
民俗	민속
領地	영지
版画	판화
否決	부결
公用	공용
産休	출산 휴가
サンタクロース	산타클로스
動的	동적
土手	둑
とろける	녹아내리다, 황홀해지다
印鑑	인감
傾ける	기울이다
