# N5 단어 한국어 뜻. 형식: 단어<TAB>뜻 (읽기가 여러 개인 단어는 단어|읽기)
ない	없다, ~하지 않다
緑	초록
書く	쓰다
自転車	자전거
窓	창문
かける	걸다, 앉다
辛い|からい	맵다, 짜다
七	칠, 일곱
掃除	청소
そっち	그쪽
六	육, 여섯
靴	신발, 구두
寝る	자다
帰る	돌아가다, 귀가하다
どうも	정말, 고마워요
お腹	배 (신체)
角|かど	모퉁이
パーティー	파티
そば	곁, 옆
卵	달걀, 알
話す	이야기하다
弱い	약하다
カレー	카레
午前	오전
では	그럼
働く	일하다
鼻	코
二つ	두 개, 둘
毎年	매년
野菜	채소
余り	별로, 그다지
お母さん	어머니, 엄마
塩	소금
上手	능숙함, 잘함
ドア	문, 도어
歯	이, 치아
橋	다리 (건너는)
甘い	달다
鍵	열쇠
去年	작년
会う	만나다
九|きゅう	구, 아홉
九|く	구, 아홉
困る	곤란하다
寒い	춥다
白い	하얗다
頼む	부탁하다
天気	날씨
暇	한가함, 틈
向こう	건너편, 저쪽
赤い	빨갛다
起きる	일어나다
教室	교실
今週	이번 주
食べ物	음식
ポスト	우체통
両親	부모님
忙しい	바쁘다
売る	팔다
遅い	늦다, 느리다
買い物	쇼핑, 장보기
時計	시계
荷物	짐
手紙	편지
昼	낮, 점심
文章	문장, 글
辺	근처, 부근
財布	지갑
置く	두다, 놓다
男の子	남자아이
地図	지도
乗る	타다
プール	수영장
お茶	차 (마시는)
来年	내년
ギター	기타
さあ	자, 글쎄
静か	조용함
短い	짧다
メートル	미터
上げる	올리다, 주다
医者	의사
走る	달리다
時々	가끔
ノート	공책, 노트
下手	서투름, 못함
ペット	애완동물
ポケット	주머니
見せる	보여 주다
あそこ	저기
危ない	위험하다
重い	무겁다
黒い	검다
住む	살다, 거주하다
図書館	도서관
レストラン	레스토랑
開く|あく	열리다
熱い	뜨겁다
散歩	산책
遠い	멀다
飛行機	비행기
門	문, 대문
立つ	서다
毎週	매주
暑い	덥다
歩く	걷다
うるさい	시끄럽다
漢字	한자
洗濯	빨래, 세탁
テーブル	테이블
晩	밤, 저녁
待つ	기다리다
池	연못
タクシー	택시
生まれる	태어나다
コート	코트
先週	지난주
お菓子	과자
軽い	가볍다
椅子	의자
階段	계단
汚い	더럽다
切る	자르다, (전화를) 끊다
背	키, 등
広い	넓다
ペン	펜
マッチ	성냥
有る	있다 (사물)
いかが	어떻게, 어떠신지
お父さん	아버지, 아빠
今月	이번 달
テープ	테이프
日曜日	일요일
庭	정원, 마당
引く	당기다, 빼다
来週	다음 주
青い	파랗다
歌う	노래하다
奥さん	부인 (남의 아내)
消す	끄다, 지우다
シャワー	샤워
土曜日	토요일
毎月	매월
夕方	저녁때
あっち	저쪽
アパート	아파트, 연립주택
風邪	감기
初め; 始め	처음, 시작
遊ぶ	놀다
薄い	얇다, 연하다
教える	가르치다, 알려 주다
消える	사라지다, 꺼지다
帽子	모자
スカート	치마
今朝	오늘 아침
たて	세로, 길이
まずい	맛없다
忘れる	잊다
返す	돌려주다
机	책상
金曜日	금요일
狭い	좁다
飛ぶ	날다
地下鉄	지하철
明るい	밝다
黄色	노란색
月曜日	월요일
冷たい	차갑다
夏休み	여름 방학
晴れ	맑음
フィルム	필름
答える	대답하다
砂糖	설탕
それでは	그러면
戸	문
五日	5일, 닷새
着る	입다 (상의)
醤油	간장
そちら	그쪽
それから	그리고, 그다음에
警官	경찰관
冷蔵庫	냉장고
大勢	많은 사람
飲み物	음료
レコード	레코드
丁度	꼭, 딱, 마침
撮る	(사진을) 찍다
眼鏡	안경
いいえ	아니요
押す	누르다, 밀다
傘	우산
出口	출구
並ぶ	줄 서다, 늘어서다
牛乳	우유
速い	빠르다
玄関	현관
エレベーター	엘리베이터
ズボン	바지
掛ける	걸다
食堂	식당
ナイフ	칼, 나이프
バター	버터
零	영, 제로
一人	한 사람, 혼자
伯父; 叔父さん	삼촌, 아저씨
開ける	열다
覚える	외우다, 기억하다
カレンダー	달력
先月	지난달
つまらない	재미없다
三つ	세 개, 셋
洋服	양복, 옷
どなた	어느 분
暖かい	따뜻하다
紅茶	홍차
大使館	대사관
渡す	건네다
渡る	건너다
火曜日	화요일
水曜日	수요일
止まる	멈추다
入口	입구
宿題	숙제
細い	가늘다
休む	쉬다
昨夜	어젯밤
着く	도착하다
辞書	사전
降る	(비·눈이) 내리다
靴下	양말
交差点	교차로
吸う	들이마시다, 피우다
木曜日	목요일
来月	다음 달
出かける	외출하다
洗う	씻다
疲れる	지치다, 피곤하다
毎朝	매일 아침
黄色い	노랗다
座る	앉다
茶色	갈색
貼る	붙이다
毎晩	매일 밤
ネクタイ	넥타이
フォーク	포크
太い	굵다
グラム	그램
留学生	유학생
借りる	빌리다
喫茶店	찻집, 카페
咲く	(꽃이) 피다
まっすぐ	똑바로
果物	과일
コップ	컵
箸	젓가락
降りる	내리다
曇り	흐림
台所	부엌
廊下	복도
あちら	저쪽
飴	사탕
涼しい	시원하다
吹く	불다
登る	오르다
夕飯	저녁밥
切手	우표
スプーン	숟가락
たばこ	담배
伯母さん; 叔母さん	고모, 이모, 아주머니
御飯	밥, 식사
二人	두 사람
今晩	오늘 밤
牛肉	소고기
封筒	봉투
かばん	가방
はく	(하의·신발을) 입다, 신다
浴びる	(샤워를) 하다, 뒤집어쓰다
要る	필요하다
上着	겉옷
鉛筆	연필
切符	표, 티켓
厚い	두껍다
デパート	백화점
豚肉	돼지고기
弾く|ひく	(악기를) 켜다, 치다
石鹸	비누
段々	점점
鶏肉	닭고기
明後日|あさって	모레
作文	작문
セーター	스웨터
並べる	늘어놓다, 나란히 놓다
脱ぐ	벗다
一昨日|おととい	그저께
貸す	빌려주다
丈夫	튼튼함
本棚	책장
七つ	일곱 개
四つ	네 개
磨く	닦다
泳ぐ	헤엄치다
ハンカチ	손수건
おじいさん	할아버지
易しい	쉽다
ボールペン	볼펜
もしもし	여보세요
かぶる	(모자를) 쓰다
交番	파출소
ストーブ	난로
鳴く	울다 (동물)
おばあさん	할머니
八つ	여덟 개
茶碗	밥그릇
晴れる	개다, 맑아지다
一月	한 달
在る	있다 (존재)
無くす	잃어버리다
灰皿	재떨이
勤める	근무하다
習う	배우다
五つ	다섯 개
おまわりさん	순경 아저씨, 경찰
閉める	닫다
締める	매다, 조이다
ワイシャツ	와이셔츠
平仮名	히라가나
差す	(우산을) 쓰다, 가리키다
花瓶	꽃병
万年筆	만년필
六つ	여섯 개
にぎやか	번화함, 떠들썩함
閉まる	닫히다
葉書	엽서
八百屋	채소 가게
りっぱ	훌륭함
背広	양복 (정장)
終る	끝나다
九つ	아홉 개
テープレコーダー	테이프 녹음기
温い	미지근하다
曇る	흐려지다
おととし	재작년
片仮名	가타카나
丸い; 円い	둥글다
二十歳	스무 살
一日|ついたち	1일 (초하루)
字引	사전
曲る	구부러지다, 돌다
朝御飯	아침밥
足; 脚	발, 다리
いい; よい	좋다
一日|いちにち	하루
映画館	영화관
～円	~엔
お～	(존경·미화의 접두어) 오~
お酒	술
お皿	접시
お手洗い	화장실
お兄さん	형, 오빠
お姉さん	누나, 언니
お風呂	목욕, 욕조
お弁当	도시락
～回	~회, ~번
～階	~층
外国人	외국인
～か月	~개월
～月|～がつ	~월
～がる	~해하다 (감정)
川; 河	강, 내
～側	~쪽, ~측
キロ; キログラム	킬로그램
キロ; キロメートル	킬로미터
～くらい; ぐらい	~정도
～個	~개
～語	~어 (언어)
九日	9일, 아흐레
コピーする	복사하다
～ころ; ～ごろ	~쯤, ~경
～歳	~살, ~세
～冊	~권
さ来年	내후년
～さん	~씨
～時|～じ	~시
～時間	~시간
じゃ; じゃあ	그럼
～中|～じゅう	~내내, 온~
～週間	~주간
～人|～じん	~인 (국적)
～すぎ	~지남, 너무 ~함
すぐに	곧, 바로
～ずつ	~씩
そう; そうです	그렇다, 그래요
そうして; そして	그리고
～台	~대
～だけ	~만, ~뿐
～たち	~들
誰か	누군가
誕生日	생일
～中|～ちゅう	~중
～度	~번, ~도
十日	10일, 열흘
～時|～とき	~때
～など	~등
七日	7일, 이레
何～	몇~, 무슨~
～日|～にち	~일
～人|～にん	~명
～年	~년
～杯	~잔
二十日	20일, 스무날
～番	~번, ~번째
晩御飯	저녁밥
～匹	~마리
昼御飯	점심밥
二日	2일, 이틀
～分	~분
～本	~자루, ~병 (가늘고 긴 것)
～枚	~장
～前|～まえ	~앞, ~전
三日	3일, 사흘
六日	6일, 엿새
～屋	~가게, ~집
郵便局	우체국
ゆっくりと	천천히
八日	8일, 여드레
四日	4일, 나흘
ラジオカセ	라디오 카세트
