# N3 단어 한국어 뜻
と	~와, ~과
角|すみ	구석
インタビュー	인터뷰
笑顔	웃는 얼굴
額|がく	액수, 액자
株	주식, 그루
議論	논의
銀	은
建築	건축
無視	무시
求める	구하다, 요구하다
角|かく	각, 모서리
増加	증가
単位	단위, 학점
美人	미인
額|ひたい	이마
資格	자격
世	세상
出版	출판
悪魔	악마
牛	소
思い出	추억
優秀	우수
核	핵
速度	속도
太陽	태양
中止	중지
得意	잘함, 자신 있음
発展	발전
バランス	균형
王子	왕자
疑問	의문
臭い	냄새나다, 수상하다
傾向	경향
抵抗	저항
苦手	서투름, 질색
マスター	주인, 마스터
職	직업, 일자리
神経	신경
身長	키, 신장
生物	생물
だが	그러나
段	단, 계단
注文	주문
ノー	노
発行	발행
汗	땀
感動	감동
共通	공통
具体	구체
憲法	헌법
ワイン	와인
別れ	이별
涙	눈물
否定	부정
骨	뼈
炎	불꽃
食品	식품
案	안, 계획
一生	일생
違反	위반
オフィス	사무실
カー	자동차
共同	공동
クリスマス	크리스마스
命令	명령
床	바닥, 마루
理想	이상 (ideal)
怒り	분노
体重	체중
どうしても	어떻게 해서라도, 아무래도
袋	봉지, 자루
上司	상사
関心	관심
金融	금융
困難	곤란
輪	고리, 바퀴
それとも	아니면
単純	단순
独立	독립
学習	학습
肩	어깨
作家	작가
役割	역할
予算	예산
列	줄, 열
課題	과제
後悔	후회
トン	톤
保証	보증
あらゆる	모든
影	그림자
恐怖	공포
芸術	예술
サイン	사인
有効	유효
驚き	놀라움
地区	지구, 지역
何とか	어떻게든
職業	직업
植物	식물
一時	한때, 일시
一瞬	한순간
義務	의무
殺す	죽이다
世の中	세상
異	다름
戦う	싸우다
波	파도
働き	작용, 일
思想	사상
周囲	주위
数字	숫자
整理	정리
描く|えがく	그리다, 묘사하다
起こる	일어나다
描く|かく	그리다
緊張	긴장
計	합계, 계획
限界	한계
現状	현상 (현재 상태)
超える	넘다
国会	국회
飯	밥
列車	열차
駐車	주차
仲	사이, 관계
発射	발사
不満	불만
進行	진행
保障	보장
示す	나타내다, 가리키다
信号	신호
嵐	폭풍
永遠	영원
覚悟	각오
語る	이야기하다
傷	상처
詳しい	자세하다
血液	혈액
現象	현상
差別	차별
明確	명확
ヨーロッパ	유럽
喜び	기쁨
鉄	철
ショック	충격
ダウン	다운
児童	아동
修理	수리
当たる	맞다, 당첨되다
いわゆる	이른바
引退	은퇴
可	가, 좋음
学者	학자
料金	요금
原	들판
ピン	핀
プラス	플러스
就職	취직
正	정, 바름
筋肉	근육
航空	항공
腰	허리
味方	아군, 편
見事	훌륭함
設備	설비
態度	태도
谷	골짜기
中学	중학교
適用	적용
鉄道	철도
共に	함께
幅	폭
場面	장면
指揮	지휘
人工	인공
奥	안쪽, 깊숙한 곳
恐ろしい	무섭다
活用	활용
免許	면허
文句	불평, 문구
離婚	이혼
切り	끝, 한도
策	대책, 방책
全身	전신
同僚	동료
毒	독
ドライブ	드라이브
犯人	범인
夫婦	부부
勢い	기세
意思	의사, 뜻
給料	급료, 월급
合格	합격
勇気	용기
老人	노인
笑い	웃음
多少	다소
提出	제출
必死	필사
表情	표정
学ぶ	배우다
左右	좌우
意外	의외
化学	화학
合計	합계
願い	소원
野	들
一言	한마디
訪問	방문
松	소나무
順	순서
心臓	심장
刀	칼
期限	기한
貴重	귀중
強力	강력
混乱	혼란
流行	유행
縁|えん	인연
群	무리
チーズ	치즈
費用	비용
縁|ふち	가장자리, 테
書類	서류
睡眠	수면
気温	기온
きちんと	깔끔히, 정확히
競技	경기
現金	현금
やや	약간
嫁	며느리, 신부
バッグ	가방
物理	물리
請求	청구
油	기름
方々|かたがた	여러분
苦労	고생
氷	얼음
極	극히, 매우
減少	감소
単に	단지
長期	장기
出来事	일, 사건
方々|ほうぼう	여기저기
像	상, 모습
自慢	자랑
承認	승인
真剣	진지함
世間	세상, 세간
球|きゅう	구, 공
金属	금속
貢献	공헌
メモ	메모
先日	요전날
底	바닥
球|たま	공
同時	동시
パス	패스
羽	날개, 깃털
飛行	비행
振り	흔듦, ~인 척
出場	출장, 출전
冗談	농담
辺り	근처, 주변
解釈	해석
香り	향기
考慮	고려
ゴール	골
材料	재료
予測	예측
茶	차
激しい	격하다, 심하다
棒	막대기
冒険	모험
正規	정규
先行	선행
票	표
需要	수요
症状	증상
女王	여왕
息	숨
引用	인용
皮	껍질, 가죽
観察	관찰
休憩	휴식
供給	공급
大半	대부분
ドレス	드레스
俳優	배우
視点	시점, 관점
罹る	(병에) 걸리다
直	곧, 직접
姉妹	자매
アウト	아웃
一致	일치
岩	바위
衛星	위성
缶	캔, 깡통
財産	재산
微妙	미묘
不正	부정 (부당)
弁当	도시락
優	우, 뛰어남
刺激	자극
相変わらず	여전히
貸し	빌려줌
吸収	흡수
化粧	화장
才能	재능
屋根	지붕
中古	중고
天然	천연
正体	정체
創造	창조
重視	중시
温度	온도
外交	외교
管|くだ	관, 대롱
認める	인정하다
基	기초
素	바탕, 본디
管|かん	관
代理	대리
どんなに	아무리
猿	원숭이
正式	정식
至る	이르다
柄|え	손잡이
柄|がら	무늬, 체격, 성품
金額	금액
格	격, 등급
体育	체육
付き合い	교제
翼	날개
鍋	냄비
表面	표면
真似	흉내
スイッチ	스위치
成人	성인
いらっしゃい	어서 오세요
議会	의회
劇	극, 연극
呼吸	호흡
妙	묘함, 이상함
冷静	냉정, 침착
論文	논문
狩り	사냥
滞在	체재
ダイヤ	운행표, 다이아몬드
通過	통과
通貨	통화 (화폐)
適切	적절
膝	무릎
舌	혀
資本	자본
常識	상식
信仰	신앙
扱う	다루다
現れる	나타나다
過程	과정
組合	조합
経由	경유
結論	결론
誤解	오해
豆	콩
損	손해
たとえ	설령
届く	닿다, 도착하다
流れる	흐르다
発達	발달
節|ふし	마디, 가락
節|せつ	때, 절 (단락)
賛成	찬성
資源	자원
借金	빚
主要	주요
親友	친한 친구
跡	자국, 흔적
印刷	인쇄
演技	연기
偶然	우연
コーチ	코치
面接	면접
アンケート	설문 조사
形態	형태
尊敬	존경
眺め	전망, 경치
墓	무덤
裸	알몸
夫人	부인
マイナス	마이너스
印	표시, 표
泉	샘
課	과 (부서)
稼ぐ	벌다
決まり	규칙, 결말
幸い	다행
尾	꼬리
宝	보물
単なる	단순한
デモ	시위, 데모
パイロット	조종사
評判	평판
当り	적중, 당첨
深刻	심각
スタンド	스탠드
キャンプ	캠프
癖	버릇
豪華	호화
豊か	풍부함, 넉넉함
容易	용이, 쉬움
通勤	통근
哲学	철학
不幸	불행
孫	손주
首都	수도
徐々に	서서히
成績	성적
外出	외출
楽器	악기
帰宅	귀가
郵便	우편
片付け	정리
拘束	구속
たっぷり	듬뿍
付ける	붙이다
ところで	그런데
除く	제외하다, 없애다
風景	풍경
実に	실로
実力	실력
汚染	오염
機構	기구, 구조
タオル	수건
単語	단어
知事	지사
根	뿌리
揚げる	튀기다, 올리다
挙げる	들다, 거론하다
時刻	시각
スープ	수프
過ごす	보내다 (시간)
加減	조절, 정도
髪の毛	머리카락
経緯	경위
損害	손해
大戦	대전
農業	농업
畑	밭
防ぐ	막다, 방지하다
マイク	마이크
班	반, 조
衝突	충돌
信じる	믿다
集まり	모임
栄養	영양
およそ	대략
区別	구별
ミルク	우유
地位	지위
虎	호랑이
プラン	계획
ベルト	벨트
宝石	보석
酸素	산소
ジュース	주스
愛する	사랑하다
援助	원조
快適	쾌적
繰り返す	반복하다
向かい	맞은편
宿	숙소
留学	유학
菌	균
そっくり	꼭 닮음, 전부
手間	수고, 품
入場	입장
反省	반성
文明	문명
マスコミ	대중 매체
皿	접시
避ける|さける	피하다
大した	대단한
だけど	하지만
次々	잇달아
塔	탑
残す	남기다
新鮮	신선
生き物	생물
食う	먹다 (거친 말)
幸福	행복
国境	국경
作曲	작곡
田	논
トレーニング	훈련, 트레이닝
博物館	박물관
発明	발명
ふと	문득
豊富	풍부
脂肪	지방
胃	위 (장기)
意志	의지
永久	영구
餌	먹이, 미끼
思わず	무심코, 저도 모르게
効く	효과가 있다
寄付	기부
教科書	교과서
強調	강조
軍隊	군대
協議	협의
独特	독특
ぴったり	꼭 맞음, 딱
ブレーキ	브레이크
馴れる	길들다
愛情	애정
会計	회계, 계산
係	담당
雷	천둥, 번개
きつい	꽉 끼다, 힘들다
見解	견해
有利	유리
癌	암
トランプ	트럼프 (카드)
布	천
双子	쌍둥이
増やす	늘리다
生涯	생애
マッサージ	마사지
署名	서명
性質	성질
火災	화재
議長	의장
グラス	유리잔
警告	경고
最中|さいちゅう	한창 ~하는 중
例外	예외
取れる	떨어지다, 잡히다
トンネル	터널
端	끝, 가장자리
照明	조명
詩	시
地味	수수함
慎重	신중
梅	매실, 매화
講演	강연
後輩	후배
国籍	국적
もしも	만약
許す	허락하다, 용서하다
予防	예방
官僚	관료
務め	임무, 의무
徹底	철저
悩む	고민하다
旗	깃발
操縦	조종
着ける	착용하다, 붙이다
食料	식량
税金	세금
動かす	움직이다
丘	언덕
乾燥	건조
クラシック	클래식
読書	독서
望む	바라다
灯	등불
仏	부처
生理	생리
人種	인종
スキー	스키
頭痛	두통
青年	청년
観客	관객
気味	기색, ~한 느낌
濃い	진하다
盛り	한창, (음식) 담음
脇	옆, 겨드랑이
相続	상속
大陸	대륙
倒す	쓰러뜨리다
宅	댁, 집
繋がる	이어지다
ところが	그런데
触れる	닿다, 접하다
盾	방패
重大	중대
スケジュール	일정
贅沢	사치
隠す	숨기다
近代	근대
下り	내려감, 하행
土産	선물, 기념품
夜中	한밤중
ライター	라이터, 작가
絶滅	멸종
著者	저자
泥	진흙
不可	불가
誇り	자랑, 긍지
すなわち	즉
あんなに	저렇게
歌手	가수
交際	교제
夢中	열중함
礼	예, 감사 인사
ロケット	로켓
貯金	저금
付く	붙다
軒	처마
配達	배달
針	바늘
ますます	점점 더
福	복
騒ぎ	소동
主婦	주부
順番	순번, 차례
少々	조금
助手	조수
進歩	진보
救う	구하다
進める	진행하다
失う	잃다
延期	연기 (미룸)
苦しい	괴롭다
故郷|こきょう	고향
もったいない	아깝다
予報	예보
出会う	만나다 (우연히)
登山	등산
抜ける	빠지다
能	능력, 노 (전통극)
派手	화려함
悲劇	비극
日付	날짜
広がる	넓어지다, 퍼지다
幕	막
商売	장사
石油	석유
偉大	위대
一種	일종
羨ましい	부럽다
籠	바구니, 새장
キャプテン	주장, 캡틴
休暇	휴가
クリーム	크림
座席	좌석
札|さつ	지폐
やがて	머지않아
勤め	근무
紐	끈
打つ|ぶつ	때리다
堀	해자, 도랑
並	보통
欠ける	빠지다, 모자라다
駆ける	달리다
賭ける	걸다 (내기)
遂に	마침내
乗客	승객
巣	둥지
機嫌	기분
奇妙	기묘
救助	구조
暮らす	살다, 생활하다
煙	연기
後者	후자
さっぱり	산뜻함, 전혀
助かる	도움이 되다, 살아나다
伝わる	전해지다
流す	흘리다
独り	혼자
売れる	팔리다
粉	가루
友情	우정
服装	복장
婦人	부인, 여성
ボート	보트
寧ろ	오히려
穏やか	온화함
輝く	빛나다
切れる	끊어지다, 잘 들다
光景	광경
小屋	오두막
わざと	일부러
意	뜻
尊重	존중
題	제목
遅刻	지각
抜く	뽑다, 빼다
パイプ	파이프
唯|たった	겨우, 단
収穫	수확
親戚	친척
推薦	추천
沖	앞바다
賢い	현명하다
密	빽빽함, 긴밀
物事	사물, 일
都会	도시
農家	농가
宿泊	숙박
生じる	생기다
あちこち	여기저기
表す	나타내다
合わせる	합치다, 맞추다
演説	연설
必ずしも	반드시 (~은 아니다)
岸	물가, 기슭
グランド	운동장
願う	바라다
のんびり	느긋하게
例え	비유, 예
順調	순조로움
幼い	어리다
恐らく	아마
飾り	장식
婚約	약혼
基づく	근거하다
寮	기숙사
刑	형벌
半ば	중간, 절반
棟	동 (건물), 용마루
消防	소방
金銭	금전
砂漠	사막
芽	싹
知恵	지혜
知能	지능
手伝い	도움, 도우미
典型	전형
ボーイ	웨이터, 소년
難	어려움, 결점
水準	수준
空き	빈자리, 빈틈
一家	일가, 한 가족
否	아니, 부
苦痛	고통
公平	공평
節約	절약
注	주석
独身	독신
瓶	병
減る	줄다
酸化	산화
露	이슬
支給	지급
芝居	연극
陰	그늘
戻す	되돌리다
陸	육지
叩く|たたく	두드리다, 치다
経つ	(시간이) 지나다
通学	통학
途端	~하자마자
膜	막
支店	지점
王様	임금님
似合う	어울리다
減らす	줄이다
ベンチ	벤치
お昼	점심, 낮
害	해
絵画	회화, 그림
熱中	열중
灰	재
不利	불리
声明	성명
図る	꾀하다, 도모하다
野党	야당
支払う	지불하다
進学	진학
うっかり	깜빡
大いに	크게, 매우
菓子	과자
家事	가사, 집안일
科目	과목
感心	감탄
気候	기후
加える	더하다
強盗	강도
辞める	그만두다
容器	용기 (그릇)
降伏	항복
そっと	살짝
助ける	돕다, 구하다
伸びる	늘어나다, 자라다
筆	붓
プラスチック	플라스틱
有無	유무
骨折	골절
学歴	학력
コンテスト	콘테스트
大使	대사
有機	유기
従う	따르다
食欲	식욕
握手	악수
誤り	잘못, 오류
案外	의외로
恩	은혜
殻	껍데기
高価	고가
公正	공정
琴|こと	거문고 (고토)
同一	동일
パーセント	퍼센트
破産	파산
泡	거품
家具	가구
がっかり	실망함
急速	급속
霧	안개
鎖	쇠사슬
組む	짜다, 끼다
迷う	망설이다, 헤매다
厄介	귀찮음, 성가심
善	선
道徳	도덕
マーケット	시장
しばしば	종종
渋滞	정체, 교통 체증
奪う	빼앗다
会合	회합, 모임
禁煙	금연
支える	지탱하다
家賃	집세
要するに	요컨대
航海	항해
唯|ただ	다만, 오직
たまらない	견딜 수 없다
四季	사계절
審判	심판
スケート	스케이트
祝い	축하
悪口	욕, 험담
湾	만 (바다)
前者	전자
前進	전진
拍手	박수
視覚	시각
僅か	불과, 조금
受け取る	받다
追う	쫓다
欠陥	결함
欠点	결점
国語	국어
好む	좋아하다
有能	유능
高める	높이다
ほっと	안심함
諦める	포기하다
気付く	알아차리다
停電	정전
東洋	동양
外す	떼다, 벗다
酢	식초
間隔	간격
叫ぶ	외치다
指す	가리키다
名刺	명함
血管	혈관
直ちに	즉시
日光	햇빛
望み	희망, 소망
吐く	토하다, 뱉다
平等	평등
補償	보상
温かい	따뜻하다
疑う	의심하다
貝	조개
革	가죽
生地	옷감, 반죽
急激	급격
景気	경기 (경제)
蕎麦	메밀국수
大気	대기
たしか	분명히, 아마
通訳	통역
申告	신고
デザート	디저트
倒産	도산
肺	폐
当てる	맞히다, 대다
お洒落	멋냄, 멋쟁이
温暖	온난
学問	학문
悔しい	분하다
克服	극복
結ぶ	묶다, 맺다
論争	논쟁
個々	개개
袖	소매
テント	텐트
飛ばす	날리다, 건너뛰다
情	정, 감정
したがって	따라서
失業	실업
商人	상인
食物	음식물
横断	횡단
通す	통과시키다
離れる	떨어지다, 떠나다
去る	떠나다
抱く|いだく	품다
訴える	호소하다, 고소하다
河	강
苦しむ	괴로워하다
幸運	행운
誘う	권하다, 꾀다
燃える	타다
曜日	요일
象	코끼리
抱く|だく	안다
昼食	점심 식사
まとめる	정리하다, 모으다
住	주거
振興	진흥
占める	차지하다
仮定	가정
通行	통행
真っ赤	새빨감
真理	진리
学期	학기
越える	넘다
用いる	쓰다, 사용하다
退屈	지루함
なぜなら	왜냐하면
パスポート	여권
新興	신흥
選考	전형, 선발
同志	동지
尤も	지당함, 하긴
決行	결행
知らせ	소식, 알림
連想	연상
専攻	전공
問い	물음
歩道	보도
いたずら	장난
分ける	나누다
通じる	통하다
振る	흔들다
頬|ほほ	뺨, 볼
頬|ほお	뺨, 볼
志望	지망
高まる	높아지다
省略	생략
インク	잉크
混雑	혼잡
騒音	소음
試す	시험하다
殴る	때리다
招く	초대하다, 초래하다
問う	묻다
動揺	동요
すてき	멋짐
画家	화가
硬い	딱딱하다
勘	직감
友好	우호
負う	지다, 짊어지다
育つ	자라다
貧しい	가난하다
失望	실망
スピーチ	연설
鋭い	날카롭다
蚊	모기
敬意	경의
見舞い	문병, 위문
夜明け	새벽
礼儀	예의
体温	체온
互い	서로
載せる	싣다, 올리다
引越し	이사
批評	비평
迷子	미아
増す	늘다
じっと	가만히
抱える	껴안다, 떠안다
天候	날씨
伸ばす	늘이다, 펴다
湿度	습도
埋める|うめる	묻다, 메우다
気の毒	딱함, 안됨
加わる	더해지다, 가담하다
起源	기원
束	다발
頼る	의지하다
反抗	반항
不自由	부자유, 불편
股|また	가랑이
兎	토끼
小銭	잔돈
達する	도달하다
莫大	막대
任せる	맡기다
支出	지출
限る	한정하다
嫌う	싫어하다
ユーモア	유머
羽根	깃털
診察	진찰
贈る	선사하다
断る	거절하다
苦	괴로움
捕まる	붙잡히다
図書	도서
笛	피리
退学	퇴학
ラベル	라벨
争う	다투다
哀れ	불쌍함
ウイスキー	위스키
課程	과정
記入	기입
毛布	담요
ちょうだい	주세요 (친근)
一帯	일대
上達	숙달, 향상
清潔	청결
アイスクリーム	아이스크림
映る	비치다
愉快	유쾌
代金	대금
適度	적당함
解く|とく	풀다
握る	쥐다
年中	일 년 내내
偶々	우연히
撃つ	쏘다
重ねる	겹치다, 거듭하다
陽気	명랑함, 날씨
意地	고집, 근성
刊行	간행
徹夜	밤샘
発車	발차
等しい	같다
咳	기침
終える	끝내다
被る	뒤집어쓰다, 입다 (피해)
向ける	향하게 하다
只	공짜, 단지
梅雨|つゆ	장마
梅雨|ばいう	장마
可愛そう	불쌍함
脂	기름, 지방
及ぼす	미치다 (영향을)
境	경계
確かめる	확인하다
生える	나다, 자라다
広げる	넓히다, 펼치다
正午	정오
一層	한층 더
鐘	종
欠席	결석
破る	찢다, 어기다, 이기다
農民	농민
柵	울타리
食糧	식량
衣服	의복
祝う	축하하다
震える	떨다
可愛らしい	사랑스럽다
句	구, 구절
綿|めん	면
綿|わた	솜
題名	제목
縄	새끼줄
詩人	시인
上等	고급, 훌륭함
墨	먹
数える	세다
余分	여분
眺める	바라보다
乗せる	태우다, 싣다
述べる	말하다, 진술하다
金庫	금고
分かれる	갈라지다
異動	인사이동
頂上	정상
引っ張る	잡아당기다
親しい	친하다
飽きる	싫증 나다
名人	명인
産む	낳다
備える	대비하다, 갖추다
近頃	요즘
辞退	사퇴
姓	성
大家|おおや	집주인
下す	내리다
語学	어학
洗剤	세제
繋ぐ	잇다, 매다
僧	승려
判	도장, 판단
支払	지불
いつのまにか	어느새
歌謡	가요
掲示	게시
決心	결심
作物	작물
明後日|みょうごにち	모레
粋|いき	세련됨, 멋
