# 한자 대표 훈음 (N1 전반)
氏 성씨 씨
還 돌아올 환
属 무리 속
慮 생각할 려
枠 테두리 (일본 한자)
恵 은혜 혜
露 이슬 로
沖 화할 충 (먼바다)
緩 느릴 완
節 마디 절
需 쓰일 수
射 쏠 사
購 살 구
揮 휘두를 휘
充 채울 충
貢 바칠 공
鹿 사슴 록
却 물리칠 각
端 끝 단
賃 품삯 임
獲 얻을 획
郡 고을 군
併 아우를 병
徹 통할 철
貴 귀할 귀
埼 갑 기
衝 찌를 충
焦 탈 초
奪 빼앗을 탈
災 재앙 재
浦 개 포
析 쪼갤 석
譲 사양할 양
称 일컬을 칭
納 들일 납
樹 나무 수
挑 돋울 도
誘 꾈 유
紛 어지러울 분
至 이를 지
宗 마루 종
促 재촉할 촉
慎 삼갈 신
控 당길 공
握 쥘 악
宙 집 주
俊 준걸 준
銭 돈 전
渋 떫을 삽
銃 총 총
操 잡을 조
携 이끌 휴
診 진찰할 진
託 부탁할 탁
撮 모을 촬
誕 낳을 탄
侵 침노할 침
括 묶을 괄
謝 사례할 사
駆 몰 구
透 사무칠 투
津 나루 진
壁 벽 벽
稲 벼 도
仮 거짓 가
裂 찢을 렬
敏 민첩할 민
是 옳을 시
排 밀칠 배
裕 넉넉할 유
堅 굳을 견
訳 번역할 역
芝 지초 지
綱 벼리 강
典 법 전
賀 하례할 하
扱 다룰 급
顧 돌아볼 고
看 볼 간
訟 송사할 송
戒 경계할 계
祉 복 지
誉 기릴 예
歓 기쁠 환
奏 아뢸 주
勧 권할 권
騒 떠들 소
閥 문벌 벌
甲 갑옷 갑
縄 노끈 승
郷 시골 향
揺 흔들 요
免 면할 면
既 이미 기
薦 천거할 천
隣 이웃 린
華 빛날 화
範 법 범
隠 숨을 은
徳 큰 덕
哲 밝을 철
杉 삼나무 삼
釈 풀 석
己 몸 기
妥 온당할 타
威 위엄 위
豪 호걸 호
熊 곰 웅
滞 막힐 체
微 작을 미
隆 높을 륭
症 증세 증
暫 잠깐 잠
忠 충성 충
倉 곳집 창
肝 간 간
喚 부를 환
沿 물따라갈 연
妙 묘할 묘
唱 부를 창
索 찾을 색
誠 정성 성
襲 엄습할 습
懇 간절할 간
俳 광대 배
柄 자루 병
驚 놀랄 경
麻 삼 마
剤 약제 제
瀬 여울 뢰
趣 뜻 취
陥 빠질 함
斎 재계할 재
貫 꿸 관
仙 신선 선
慰 위로할 위
序 차례 서
旬 열흘 순
兼 겸할 겸
聖 성인 성
旨 뜻 지
即 곧 즉
柳 버들 류
舎 집 사
偽 거짓 위
較 견줄 교
覇 으뜸 패
詳 자세할 상
抵 막을 저
脅 위협할 협
茂 무성할 무
犠 희생 희
旗 기 기
距 떨어질 거
雅 맑을 아
飾 꾸밀 식
網 그물 망
竜 용 룡
詩 시 시
繁 번성할 번
翼 날개 익
茨 가시나무 자
潟 개펄 석
敵 대적할 적
魅 매혹할 매
嫌 싫어할 혐
斉 가지런할 제
敷 펼 부
擁 낄 옹
圏 우리 권
酸 실 산
罰 벌할 벌
滅 꺼질 멸
礎 주춧돌 초
腐 썩을 부
脚 다리 각
潮 밀물 조
梅 매화 매
尽 다할 진
僕 종 복
桜 벚나무 앵
滑 미끄러울 활
孤 외로울 고
炎 불꽃 염
賠 물어줄 배
句 글귀 구
寿 목숨 수
鋼 강철 강
頑 완고할 완
鎖 쇠사슬 쇄
彩 채색 채
摩 문지를 마
励 힘쓸 려
縦 세로 종
輝 빛날 휘
蓄 모을 축
軸 굴대 축
巡 돌 순
稼 심을 가 (벌이)
瞬 눈깜짝일 순
砲 대포 포
噴 뿜을 분
誇 자랑할 과
祥 상서 상
牲 희생 생
秩 차례 질
帝 임금 제
唆 부추길 사
阻 막힐 조
泰 클 태
賄 뇌물 회
撲 칠 박
堀 굴 굴
菊 국화 국
絞 목맬 교
縁 인연 연
唯 오직 유
膨 부를 팽
矢 화살 시
耐 견딜 내
塾 글방 숙
漏 샐 루
慶 경사 경
猛 사나울 맹
芳 꽃다울 방
懲 징계할 징
剣 칼 검
彰 드러날 창
棋 바둑 기
丁 고무래 정
恒 항상 항
揚 날릴 양
冒 무릅쓸 모
曽 일찍 증
倫 인륜 륜
陳 베풀 진
憶 생각할 억
潜 잠길 잠
梨 배 리
仁 어질 인
克 이길 극
岳 큰산 악
概 대개 개
拘 잡을 구
墓 무덤 묘
黙 잠잠할 묵
須 모름지기 수
偏 치우칠 편
雰 눈날릴 분
遇 만날 우
諮 물을 자
狭 좁을 협
卓 높을 탁
亀 거북 귀
糧 양식 량
簿 문서 부
炉 화로 로
牧 칠 목
殊 다를 수
殖 불릴 식
艦 큰배 함
輩 무리 배
穴 구멍 혈
奇 기이할 기
慢 거만할 만
鶴 학 학
謀 꾀 모
暖 따뜻할 난
拍 칠 박
朗 밝을 랑
丈 어른 장
寛 너그러울 관
覆 덮을 복
胞 세포 포
泣 울 읍
隔 사이뜰 격
浄 깨끗할 정
没 빠질 몰
暇 틈 가
肺 허파 폐
貞 곧을 정
鑑 거울 감
飼 기를 사
陰 그늘 음
銘 새길 명
随 따를 수
烈 매울 렬
尋 찾을 심
稿 원고 고
丹 붉을 단
啓 열 계
丘 언덕 구
棟 마룻대 동
壌 흙덩이 양
漫 흩어질 만
玄 검을 현
粘 붙을 점
悟 깨달을 오
舗 펼 포
妊 아이밸 임
熟 익을 숙
恩 은혜 은
騰 오를 등
往 갈 왕
豆 콩 두
遂 드디어 수
狂 미칠 광
栃 상수리나무 (일본 한자)
岐 갈림길 기
陛 대궐섬돌 폐
緯 씨줄 위
培 북돋울 배
衰 쇠할 쇠
艇 배 정
屈 굽힐 굴
径 지름길 경
淡 맑을 담
抽 뽑을 추
披 헤칠 피
廷 조정 정
錦 비단 금
准 준할 준
暑 더울 서
奨 권면할 장
浸 잠길 침
剰 남을 잉
胆 쓸개 담
繊 가늘 섬
駒 망아지 구
虚 빌 허
霊 신령 령
帳 장막 장
悔 뉘우칠 회
諭 타이를 유
惨 참혹할 참
虐 모질 학
翻 번역할 번
墜 떨어질 추
沼 늪 소
据 근거 거 (놓을)
肥 살찔 비
徐 천천할 서
糖 엿 당
搭 탈 탑
盾 방패 순
脈 줄기 맥
滝 폭포 롱
軌 바퀴자국 궤
俵 나누어줄 표 (섬)
妨 방해할 방
擦 문지를 찰
鯨 고래 경
荘 씩씩할 장
諾 허락할 낙
雷 우레 뢰
漂 떠다닐 표
懐 품을 회
勘 헤아릴 감
栽 심을 재
拐 후릴 괴
駄 실을 태
添 더할 첨
冠 갓 관
斜 비낄 사
鏡 거울 경
浪 물결 랑
亜 버금 아
覧 볼 람
詐 속일 사
壇 단 단
勲 공 훈
魔 마귀 마
酬 갚을 수
紫 자줏빛 자
紋 무늬 문
卸 풀 사 (도매)
奮 떨칠 분
欄 난간 란
逸 편안할 일
涯 물가 애
拓 넓힐 척
眼 눈 안
獄 옥 옥
尚 오히려 상
阜 언덕 부
彫 새길 조
穏 편안할 온
顕 나타날 현
巧 공교할 교
矛 창 모
垣 담 원
欺 속일 기
釣 낚을 조
粧 단장할 장
葛 칡 갈
粛 엄숙할 숙
愚 어리석을 우
遭 만날 조
架 시렁 가
鬼 귀신 귀
庶 여러 서
稚 어릴 치
滋 불을 자
幻 헛보일 환
煮 삶을 자
姫 아가씨 희
誓 맹세할 서
把 잡을 파
践 밟을 천
呈 드릴 정
疎 성길 소
仰 우러를 앙
剛 굳셀 강
疾 병 질
征 칠 정
砕 부술 쇄
謡 노래 요
嫁 시집갈 가
謙 겸손할 겸
后 왕후 후
嘆 탄식할 탄
菌 버섯 균
鎌 낫 겸
巣 새집 소
頻 자주 빈
琴 거문고 금
班 나눌 반
棚 사다리 붕 (선반)
潔 깨끗할 결
酷 심할 혹
宰 재상 재
廊 사랑채 랑
寂 고요할 적
伏 엎드릴 복
碁 바둑 기
俗 풍속 속
漠 넓을 막
邪 간사할 사
晶 맑을 정
墨 먹 묵
鎮 진압할 진
洞 골 동
履 밟을 리
劣 못할 렬
那 어찌 나
殴 때릴 구
娠 아이밸 신
奉 받들 봉
憂 근심 우
朴 성 박
亭 정자 정
怪 괴이할 괴
酔 취할 취
惜 아낄 석
穫 거둘 확
佳 아름다울 가
潤 불을 윤
悼 슬퍼할 도
乏 모자랄 핍
該 갖출 해
赴 다다를 부
桑 뽕나무 상
髄 뼛골 수
虎 범 호
盆 동이 분
穂 이삭 수
壮 장할 장
堤 둑 제
飢 주릴 기
傍 곁 방
疫 전염병 역
累 여러 루
痴 어리석을 치
搬 옮길 반
癒 병나을 유
寸 마디 촌
郭 둘레 곽
尿 오줌 뇨
凶 흉할 흉
吐 토할 토
宴 잔치 연
賓 손님 빈
虜 사로잡을 로
陶 질그릇 도
鐘 쇠북 종
憾 섭섭할 감
畿 경기 기
磁 자석 자
弥 두루 미
昆 맏 곤
粗 거칠 조
訂 바로잡을 정
芽 싹 아
尻 꽁무니 고
傘 우산 산
騎 말탈 기
寧 편안할 녕
循 돌 순
忍 참을 인
怠 게으를 태
如 같을 여
寮 동관 료 (기숙사)
鉛 납 연
珠 구슬 주
凝 엉길 응
苗 모 묘
獣 짐승 수
哀 슬플 애
跳 뛸 도
匠 장인 장
垂 드리울 수
蛇 긴뱀 사
澄 맑을 징
縫 꿰맬 봉
僧 중 승
眺 바라볼 조
唐 당나라 당
呉 나라 오
凡 무릇 범
憩 쉴 게
媛 여자 원
溝 도랑 구
恭 공손할 공
刈 벨 예
睡 졸음 수
錯 어긋날 착
伯 맏 백
穀 곡식 곡
柿 감나무 시
陵 언덕 릉
霧 안개 무
魂 넋 혼
弊 폐단 폐
妃 왕비 비
舶 배 박
餓 주릴 아
腎 콩팥 신
窮 다할 궁
掌 손바닥 장
麗 고울 려
臭 냄새 취
釜 가마 부
悦 기쁠 열
刃 칼날 인
縛 얽을 박
暦 책력 력
宜 마땅 의
盲 소경 맹
粋 순수할 수
辱 욕될 욕
轄 다스릴 할
猿 원숭이 원
弦 시위 현
窒 막힐 질
炊 불땔 취
洪 넓을 홍
摂 다스릴 섭
飽 배부를 포
冗 쓸데없을 용
桃 복숭아 도
狩 사냥할 수
朱 붉을 주
渦 소용돌이 와
紳 큰띠 신
枢 지도리 추
碑 비석 비
鍛 쇠불릴 단
刀 칼 도
鼓 북 고
裸 벗을 라
猶 오히려 유
塊 덩어리 괴
旋 돌 선
弓 활 궁
幣 화폐 폐
膜 꺼풀 막
扇 부채 선
脇 옆구리 협
腸 창자 장
槽 구유 조
鍋 노구솥 과
慈 사랑 자
伐 칠 벌
漬 담글 지
糾 얽힐 규
墳 무덤 분
坪 들 평
紺 감색 감
慌 어리둥절할 황
娯 즐길 오
舌 혀 설
羅 벌일 라
坊 동네 방
峡 골짜기 협
俸 녹 봉
厘 다스릴 리
峰 봉우리 봉
醸 술빚을 양
弔 조상할 조
乙 새 을
汁 즙 즙
尼 여승 니
遍 두루 편
衡 저울대 형
薫 향풀 훈
瓦 기와 와
猟 사냥 렵
羊 양 양
款 항목 관
閲 볼 열
偵 염탐할 정
喝 꾸짖을 갈
敢 감히 감
胎 아이밸 태
酵 삭힐 효
憤 분할 분
豚 돼지 돈
遮 가릴 차
扉 사립문 비
硫 유황 류
赦 용서할 사
挫 꺾을 좌
窃 훔칠 절
泡 거품 포
又 또 우
慨 슬퍼할 개
紡 길쌈 방
恨 한 한
肪 살찔 방
扶 도울 부
戯 놀이 희
忌 꺼릴 기
濁 흐릴 탁
奔 달릴 분
斗 말 두
迅 빠를 신
肖 닮을 초
鉢 바리때 발
朽 썩을 후
殻 껍질 각
享 누릴 향
藩 울타리 번
沙 모래 사
媒 중매 매
鶏 닭 계
禅 선 선
嘱 부탁할 촉
胴 몸통 동
迭 갈마들 질
挿 꽂을 삽
嵐 남기 람 (폭풍)
椎 쇠몽치 추
絹 비단 견
陪 모실 배
剖 쪼갤 부
譜 족보 보
悠 멀 유
淑 맑을 숙
帆 돛 범
暁 새벽 효
傑 뛰어날 걸
笛 피리 적
奴 종 노
誰 누구 수
錠 덩이 정 (자물쇠)
拳 주먹 권
遷 옮길 천
拙 옹졸할 졸
侍 모실 시
尺 자 척
峠 고개 (일본 한자)
篤 도타울 독
渇 목마를 갈
俺 나 엄
叔 아재비 숙
雌 암컷 자
堪 견딜 감
叙 펼 서
酢 초 초
吟 읊을 음
逓 갈릴 체
痕 흔적 흔
袖 소매 수
甚 심할 심
妖 요사할 요
闇 숨을 암 (어둠)
崇 높을 숭
漆 옻 칠
岬 곶 갑
癖 버릇 벽
愉 즐거울 유
捉 잡을 착
礁 암초 초
屯 진칠 둔
姻 혼인 인
賭 내기 도
擬 비길 의
塀 담 병 (일본 한자)
唇 입술 순
睦 화목할 목
閑 한가할 한
幽 그윽할 유
曹 무리 조
詠 읊을 영
卑 낮을 비
侮 업신여길 모
鋳 쇠부어만들 주
抹 지울 말
尉 벼슬 위
隷 종 례
禍 재앙 화
酪 쇠젖 락
茎 줄기 경
汎 넓을 범
頃 잠깐 경
帥 장수 수
逝 갈 서
汽 물끓는김 기
謎 수수께끼 미
匿 숨길 닉
爪 손톱 조
鍵 열쇠 건
襟 옷깃 금
蛍 반딧불이 형
寡 적을 과
痢 설사 리
庸 떳떳할 용
坑 구덩이 갱
藍 쪽 람
賊 도둑 적
搾 짤 착
臼 절구 구
畔 밭두둑 반
唄 염불소리 패 (노래)
孔 구멍 공
呂 법칙 려
拷 칠 고
嬢 아가씨 양
渓 시내 계
翁 늙은이 옹
廉 청렴할 렴
牙 어금니 아
謹 삼갈 근
瞳 눈동자 동
湧 물솟을 용
窯 가마 요
褒 기릴 포
醜 추할 추
升 되 승
殉 따라죽을 순
煩 번거로울 번
枕 베개 침
劾 캐물을 핵
堕 떨어질 타
丼 덮밥 정
租 조세 조
桟 잔도 잔
惧 두려워할 구
婿 사위 서
慕 그릴 모
罷 마칠 파
矯 바로잡을 교
某 아무 모
囚 가둘 수
虹 무지개 홍
泌 분비할 비
漸 점점 점
膳 반찬 선
蚊 모기 문
厄 액 액
藻 마름 조
嫡 정실 적
呪 빌 주
斬 벨 참
怨 원망할 원
串 꿸 관 (꼬치)
嚇 성낼 혁
凸 볼록할 철
腫 종기 종
韻 운 운
霜 서리 상
餅 떡 병
硝 화약 초
箸 젓가락 저
勅 칙서 칙
棺 널 관
儒 선비 유
斑 얼룩 반
摯 잡을 지
愁 근심 수
楼 다락 루
眉 눈썹 미
薪 섶 신
堆 쌓을 퇴
褐 갈색 갈
賜 줄 사
繕 기울 선
栓 마개 전
芯 골풀 심
蜜 꿀 밀
凹 오목할 요
艶 고울 염
股 넓적다리 고
匂 향내 (일본 한자)
玩 희롱할 완
錬 불릴 련
蜂 벌 봉
衷 속마음 충
逐 쫓을 축
斥 물리칠 척
詔 조서 조
椅 의자 의
叱 꾸짖을 질
挨 밀칠 애
憧 동경할 동
宵 밤 소
妄 망령될 망
酌 술부을 작
蚕 누에 잠
餌 미끼 이
頒 나눌 반
肢 팔다리 지
謄 베낄 등
脊 등성마루 척
嗣 이을 사
凄 쓸쓸할 처
嫉 미워할 질
膝 무릎 슬
恣 방자할 자
畝 이랑 무
抄 뽑을 초
麺 국수 면
戴 일 대
爽 시원할 상
裾 옷자락 거
惰 게으를 타
蛮 오랑캐 만
旺 왕성할 왕
冥 어두울 명
壱 한 일 (갖은자)
瑠 맑은유리 류
侯 제후 후
麓 산기슭 록
弧 활 호
稽 상고할 계
蹴 찰 축
訃 부고 부
剥 벗길 박
蓋 덮을 개
畏 두려워할 외
喉 목구멍 후
附 붙을 부
但 다만 단
芋 토란 우
拭 씻을 식
婆 할머니 파
貼 붙일 첩
倣 본뜰 방
諦 살필 체 (단념할)
煎 달일 전
緻 빽빽할 치
哺 먹일 포
罵 꾸짖을 매
乞 빌 걸
倹 검소할 검
嗅 맡을 후
蔑 업신여길 멸
繭 고치 견
巾 수건 건
斤 근 근
勾 굽을 구
且 또 차
旦 아침 단
氾 넘칠 범
丙 남녘 병
伎 재간 기
弐 두 이 (갖은자)
吏 벼슬아치 리
汰 일 태
肘 팔꿈치 주
冶 풀무 야
沃 기름질 옥
弄 희롱할 롱
宛 완연할 완 (앞)
苛 가혹할 가
采 캘 채
妬 샘낼 투
刹 절 찰
拉 끌 랍
咽 목구멍 인
柵 울타리 책
拶 짓누를 찰
勃 노할 발
昧 어두울 매
侶 짝 려
酎 진한술 주
桁 차꼬 항 (자릿수)
捗 진척될 척
朕 나 짐
耗 소모할 모
崖 언덕 애
萎 시들 위
淫 음란할 음
舷 뱃전 현
梗 줄기 경
戚 친척 척
唾 침 타
捻 비틀 념
羞 부끄러울 수
貪 탐낼 탐
僅 겨우 근
痩 여윌 수
痘 역질 두
喩 깨우칠 유
賂 뇌물 뢰
遜 겸손할 손
隙 틈 극
傲 거만할 오
虞 염려할 우
窟 굴 굴
詣 이를 예
塞 막힐 색
羨 부러워할 선
腺 샘 선
詮 설명할 전
塑 흙빚을 소
遡 거스를 소
溺 빠질 닉
頓 조아릴 돈
毀 헐 훼
彙 무리 휘
慄 떨릴 률
楷 본보기 해
塡 메울 전
箇 낱 개
綻 터질 탄
貌 모양 모
瘍 헐 양
箋 기록할 전
辣 매울 랄
璃 유리 리
謁 뵐 알
遵 좇을 준
潰 무너질 궤
賦 부세 부
蔽 덮을 폐
嘲 비웃을 조
憬 깨달을 경
踪 자취 종
骸 뼈 해
墾 개간할 간
醒 깰 성
諧 화할 해
錮 막을 고
頰 뺨 협
瞭 밝을 료
臆 가슴 억
爵 벼슬 작
曖 희미할 애
顎 턱 악
濫 넘칠 람
璧 구슬 벽
璽 옥새 새
籠 대바구니 롱
鬱 답답할 울
